index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Additional_Info,Price
1293,IndiGo,12/05/2019,Mumbai,Hyderabad,BOM → HYD,09:10,1h 30m,non-stop,nan,4049.0
1294,SpiceJet,24/03/2019,Chennai,Kolkata,MAA → CCU,08:20,2h 15m,non-stop,No check-in baggage included,3807.0
1295,IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,15h 40m,1 stop,No info,6442.0
1296,Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,24h 40m,1 stop,In-flight meal not included,7832.0
1297,IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,13h 55m,1 stop,No info,6442.0
1298,IndiGo,21/04/2019,Banglore,Delhi,BLR → DEL,20:00,2h 50m,non-stop,No info,4823.0
1299,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,23h 20m,1 stop,No info,13555.0
1300,GoAir,6/04/2019,Delhi,Cochin,DEL → BOM → COK,10:35,9h,1 stop,No info,5135.0
1301,GoAir,15/06/2019,Delhi,Cochin,DEL → AMD → COK,07:25,6h 10m,1 stop,No info,5842.0
1302,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,15h,2 stops,No info,16704.0
1303,SpiceJet,9/05/2019,Mumbai,Hyderabad,BOM → HYD,05:45,1h 30m,non-stop,No check-in baggage included,1965.0
1304,SpiceJet,6/06/2019,Kolkata,Banglore,CCU → BLR,17:10,2h 30m,non-stop,No info,3873.0
1305,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,7h 40m,1 stop,No info,10678.0
1306,Air India,12/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,38h 15m,2 stops,No info,9443.0
1307,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12h 10m,1 stop,No info,13378.0
1308,IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,04:00,2h 50m,non-stop,No info,3943.0
1309,IndiGo,18/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,9h 35m,1 stop,nan,7191.0
1310,SpiceJet,27/06/2019,Banglore,Delhi,BLR → DEL,05:55,2h 40m,non-stop,No info,3625.0
1311,GoAir,27/05/2019,Delhi,Cochin,DEL → AMD → COK,07:25,6h 10m,1 stop,No info,6841.0
1312,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,6h 30m,1 stop,In-flight meal not included,11134.0
1313,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,25h 50m,1 stop,No info,14571.0
1314,Jet Airways,21/04/2019,Banglore,Delhi,BLR → DEL,17:45,3h,non-stop,In-flight meal not included,4544.0
1315,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,17h 30m,1 stop,In-flight meal not included,11087.0
1316,SpiceJet,3/03/2019,Kolkata,Banglore,CCU → BLR,09:00,2h 30m,non-stop,No info,5515.0
1317,IndiGo,27/06/2019,Kolkata,Banglore,CCU → BLR,04:40,2h 35m,non-stop,No info,4804.0
1318,IndiGo,12/06/2019,Chennai,Kolkata,MAA → CCU,13:15,2h 20m,non-stop,No info,3597.0
1319,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,06:00,13h 15m,1 stop,No info,15353.0
1320,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,18:25,2h 55m,non-stop,No info,7303.0
1321,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,12h 25m,1 stop,No info,13817.0
1322,Jet Airways,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,24h 35m,2 stops,No info,19329.0
1323,Air India,3/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,23h 40m,2 stops,No info,10975.0
1324,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,10h,1 stop,No info,14714.0
1325,Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,13h 50m,2 stops,In-flight meal not included,10919.0
1326,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,7h 35m,1 stop,No info,10197.0
1327,Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,13h 30m,2 stops,No info,15129.0
1328,IndiGo,6/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,13h 30m,1 stop,No info,7191.0
1329,GoAir,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,8h 15m,1 stop,No info,6686.0
1330,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,12h 40m,1 stop,No info,7530.0
1331,IndiGo,15/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,14h 55m,1 stop,No info,6442.0
1332,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,27h 35m,1 stop,In-flight meal not included,10262.0
1333,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,14h 35m,1 stop,No info,13817.0
1334,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,9h 30m,1 stop,No info,13626.0
1335,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,15h 10m,1 stop,No info,14388.0
1336,IndiGo,21/03/2019,Delhi,Cochin,DEL → COK,14:30,3h 5m,non-stop,No info,5406.0
1337,SpiceJet,3/04/2019,Delhi,Cochin,DEL → BLR → COK,17:55,4h 55m,1 stop,No info,4611.0
1338,IndiGo,9/06/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,4h 50m,1 stop,No info,5069.0
1339,GoAir,6/06/2019,Banglore,Delhi,BLR → DEL,07:45,2h 55m,non-stop,No info,3898.0
1340,IndiGo,6/06/2019,Mumbai,Hyderabad,BOM → HYD,12:00,1h 30m,non-stop,No info,2754.0
1341,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,12h 30m,1 stop,No info,11507.0
1342,IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,16:55,2h 50m,non-stop,No info,8033.0
1343,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,18:25,2h 55m,non-stop,No info,6860.0
1344,IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,07:10,2h 55m,non-stop,No info,4823.0
1345,IndiGo,9/04/2019,Kolkata,Banglore,CCU → BLR,04:40,2h 35m,non-stop,No info,4174.0
1346,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,29h 35m,2 stops,No info,12819.0
1347,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,7h 30m,1 stop,In-flight meal not included,11507.0
1348,IndiGo,27/06/2019,Delhi,Cochin,DEL → COK,05:35,3h 15m,non-stop,No info,5054.0
1349,Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,16h 20m,2 stops,Change airports,13366.0
1350,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,21:55,18h 50m,1 stop,No info,12395.0
1351,Air India,15/05/2019,Kolkata,Banglore,CCU → GAU → BLR,16:45,28h 20m,1 stop,No info,7452.0
1352,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,23h 15m,1 stop,No info,15554.0
1353,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22h 5m,1 stop,No info,11507.0
1354,SpiceJet,24/05/2019,Mumbai,Hyderabad,BOM → HYD,05:45,1h 30m,non-stop,No check-in baggage included,1965.0
1355,SpiceJet,27/03/2019,Chennai,Kolkata,MAA → CCU,09:30,2h 35m,non-stop,No check-in baggage included,3332.0
1356,Air India,18/03/2019,Banglore,New Delhi,BLR → GAU → DEL,13:50,28h 50m,1 stop,No info,11161.0
1357,Air India,12/06/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,27h 45m,2 stops,No info,12224.0
1358,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,17h 5m,1 stop,In-flight meal not included,9663.0
1359,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,6h 20m,1 stop,No info,12284.0
1360,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,22h 45m,1 stop,No info,14151.0
1361,IndiGo,21/06/2019,Kolkata,Banglore,CCU → BLR,17:15,2h 35m,non-stop,No info,4804.0
1362,IndiGo,18/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,5h,1 stop,No info,6069.0
1363,Vistara,21/03/2019,Banglore,New Delhi,BLR → AMD → DEL,06:40,15h 15m,1 stop,No info,6065.0
1364,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,13h 20m,1 stop,No info,14151.0
1365,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,17h 5m,1 stop,No info,14231.0
1366,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,17h 45m,1 stop,No info,12395.0
1367,IndiGo,24/04/2019,Delhi,Cochin,DEL → MAA → COK,02:00,5h 25m,1 stop,No info,5636.0
1368,Air India,6/04/2019,Delhi,Cochin,DEL → BLR → COK,17:40,5h 20m,1 stop,No info,5232.0
1369,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,14h 25m,1 stop,No info,14714.0
1370,IndiGo,6/05/2019,Chennai,Kolkata,MAA → CCU,07:55,2h 20m,non-stop,No info,3850.0
1371,Air India,27/05/2019,Delhi,Cochin,DEL → BLR → COK,17:40,15h 55m,1 stop,No info,7258.0
1372,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,15h 30m,1 stop,No info,13377.0
1373,Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,08:20,3h,non-stop,No info,8016.0
1374,Air India,09/03/2019,Banglore,New Delhi,BLR → HYD → DEL,06:50,26h,1 stop,No info,5626.0
1375,IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,16:55,2h 50m,non-stop,No info,6860.0
1376,IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:35,6h 55m,1 stop,No info,6628.0
1377,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,23h 35m,1 stop,nan,11627.0
1378,SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,17:10,2h 30m,non-stop,No info,4174.0
1379,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,10h 10m,1 stop,No info,14714.0
1380,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,11h 30m,1 stop,No info,14151.0
1381,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,6h 35m,1 stop,In-flight meal not included,12373.0
1382,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,10:10,2h 50m,non-stop,No info,3943.0
1383,Air Asia,9/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,8h 20m,2 stops,No info,7870.0
1384,Jet Airways,18/06/2019,Banglore,Delhi,BLR → DEL,18:55,3h 5m,non-stop,No info,8016.0
1385,Air India,15/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:05,20h 20m,2 stops,No info,10975.0
1386,IndiGo,27/05/2019,Chennai,Kolkata,MAA → CCU,07:55,2h 20m,non-stop,No info,3850.0
1387,IndiGo,18/06/2019,Kolkata,Banglore,CCU → BLR,20:25,2h 45m,non-stop,No info,4804.0
1388,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,20:50,7h 35m,1 stop,No info,15554.0
1389,SpiceJet,18/03/2019,Kolkata,Banglore,CCU → BLR,06:55,2h 40m,non-stop,nan,4465.0
1390,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,11h 15m,1 stop,No info,19332.0
1391,IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,10:10,2h 50m,non-stop,No info,4591.0
1392,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,18h 20m,1 stop,In-flight meal not included,10577.0
1393,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,8h 55m,2 stops,No info,15129.0
1394,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,13h,1 stop,No info,11789.0
1395,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,06:00,13h 15m,1 stop,No info,10197.0
1396,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,13h 20m,1 stop,No info,14781.0
1397,Vistara,21/04/2019,Banglore,Delhi,BLR → DEL,17:00,2h 35m,non-stop,No info,5613.0
1398,Jet Airways,24/04/2019,Banglore,Delhi,BLR → DEL,15:15,2h 55m,non-stop,No info,7229.0
1399,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,12h 30m,1 stop,No info,6093.0
1400,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,7h 5m,2 stops,In-flight meal not included,15544.0
1401,IndiGo,27/04/2019,Kolkata,Banglore,CCU → BLR,09:35,2h 45m,non-stop,No info,4804.0
1402,Air Asia,18/03/2019,Banglore,New Delhi,BLR → DEL,05:50,2h 50m,non-stop,No info,4284.0
1403,IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,14h 45m,1 stop,No info,6558.0
1404,IndiGo,24/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,5h 45m,1 stop,nan,5775.0
1405,SpiceJet,21/06/2019,Chennai,Kolkata,MAA → CCU,08:20,2h 15m,non-stop,No check-in baggage included,3543.0
1406,Jet Airways,9/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,1h 25m,non-stop,In-flight meal not included,11507.0
1407,Air India,6/03/2019,Mumbai,Hyderabad,BOM → BHO → DEL → HYD,06:00,33h 15m,2 stops,No info,14219.0
1408,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,6h 45m,1 stop,No info,26890.0
1409,Air India,15/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,23h 30m,2 stops,No info,9653.0
1410,IndiGo,21/06/2019,Banglore,Delhi,BLR → DEL,06:05,2h 45m,non-stop,No info,3943.0
1411,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,26h 15m,1 stop,In-flight meal not included,10844.0
1412,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,7h 30m,1 stop,In-flight meal not included,8849.0
1413,IndiGo,12/06/2019,Mumbai,Hyderabad,BOM → HYD,01:40,1h 30m,non-stop,No info,2754.0
1414,Air India,21/03/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,36h 25m,2 stops,No info,10756.0
1415,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,28h 5m,1 stop,No info,14151.0
1416,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,12h 20m,1 stop,In-flight meal not included,9899.0
1417,Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,17h 5m,2 stops,In-flight meal not included,10368.0
1418,IndiGo,24/05/2019,Mumbai,Hyderabad,BOM → HYD,09:10,1h 30m,non-stop,No info,5755.0
1419,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,10h 10m,1 stop,In-flight meal not included,10262.0
1420,SpiceJet,6/06/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,8h 40m,1 stop,No info,6643.0
1421,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,5h,1 stop,No info,6069.0
1422,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,14h 35m,1 stop,No info,13817.0
1423,Air India,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,38h 15m,2 stops,No info,10283.0
1424,IndiGo,3/03/2019,Kolkata,Banglore,CCU → BLR,20:25,2h 40m,non-stop,No info,6038.0
1425,IndiGo,21/05/2019,Delhi,Cochin,DEL → COK,05:35,3h 15m,non-stop,No info,5601.0
1426,IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,13h 30m,1 stop,No info,12351.0
1427,Air India,15/04/2019,Delhi,Cochin,DEL → COK,05:10,2h 50m,non-stop,No info,6094.0
1428,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,8h 40m,1 stop,No info,7575.0
1429,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,23h 45m,1 stop,In-flight meal not included,10262.0
1430,Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,11:10,2h 55m,non-stop,No info,8016.0
1431,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,24h 35m,1 stop,No info,16289.0
1432,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,8h 40m,1 stop,In-flight meal not included,10262.0
1433,IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,18:25,2h 55m,non-stop,No info,4823.0
1434,Vistara,9/04/2019,Banglore,Delhi,BLR → DEL,09:45,2h 50m,non-stop,nan,5403.0
1435,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,25h 30m,1 stop,In-flight meal not included,12373.0
1436,SpiceJet,6/03/2019,Mumbai,Hyderabad,BOM → JLR → HYD,14:10,8h 15m,1 stop,No info,13552.0
1437,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,12h 20m,1 stop,In-flight meal not included,10844.0
1438,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,8h 40m,1 stop,No info,8625.0
1439,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,06:00,2h 45m,non-stop,No info,4777.0
1440,IndiGo,21/06/2019,Delhi,Cochin,DEL → COK,05:35,3h 15m,non-stop,No info,5000.0
1441,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,16h 55m,1 stop,In-flight meal not included,11627.0
1442,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,14h 35m,1 stop,No info,13731.0
1443,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,14h 5m,1 stop,In-flight meal not included,6992.0
1444,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,9h 45m,1 stop,No info,13941.0
1445,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,11h,1 stop,No info,14924.0
1446,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,10h 20m,1 stop,No info,18371.0
1447,IndiGo,3/03/2019,Chennai,Kolkata,MAA → CCU,19:35,2h 20m,non-stop,No info,7295.0
1448,Air India,09/03/2019,Banglore,New Delhi,BLR → GOI → DEL,17:00,23h 40m,1 stop,No info,9292.0
1449,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12h 15m,1 stop,No info,13941.0
1450,IndiGo,24/03/2019,Kolkata,Banglore,CCU → HYD → BLR,04:15,5h 35m,1 stop,No info,4150.0
1451,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,27h 35m,1 stop,nan,12681.0
1452,IndiGo,3/06/2019,Delhi,Cochin,DEL → COK,05:35,3h 15m,non-stop,No info,5601.0
1453,Air India,21/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23h 5m,2 stops,No info,14960.0
1454,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,9h 30m,1 stop,No info,13377.0
1455,IndiGo,21/03/2019,Mumbai,Hyderabad,BOM → HYD,12:00,1h 25m,non-stop,No info,3342.0
1456,Jet Airways,6/06/2019,Banglore,Delhi,BLR → DEL,11:10,2h 55m,non-stop,No info,8016.0
1457,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,17h 15m,1 stop,No info,16736.0
1458,Air India,21/04/2019,Delhi,Cochin,DEL → BLR → COK,20:30,11h 45m,1 stop,No info,7258.0
1459,Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,29h 20m,2 stops,No info,16704.0
1460,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,12h,1 stop,No info,13587.0
1461,Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM → HYD,02:55,1h 25m,non-stop,No info,5678.0
1462,IndiGo,3/06/2019,Mumbai,Hyderabad,BOM → HYD,01:40,1h 30m,non-stop,No info,2754.0
1463,Vistara,1/05/2019,Banglore,Delhi,BLR → DEL,09:45,2h 50m,non-stop,No info,4668.0
1464,Air Asia,21/06/2019,Kolkata,Banglore,CCU → BLR,19:55,2h 30m,non-stop,No info,4107.0
1465,IndiGo,12/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,16h 5m,1 stop,No info,5894.0
1466,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,10h 55m,1 stop,In-flight meal not included,10262.0
1467,Air Asia,27/04/2019,Delhi,Cochin,DEL → BLR → COK,16:45,14h 25m,1 stop,No info,6451.0
1468,Air India,27/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,23h 40m,2 stops,No info,10975.0
1469,Air Asia,6/06/2019,Delhi,Cochin,DEL → BLR → COK,20:45,10h 25m,1 stop,No info,11410.0
1470,SpiceJet,1/05/2019,Kolkata,Banglore,CCU → BLR,06:55,2h 35m,non-stop,No check-in baggage included,3841.0
1471,Air India,3/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,24h 50m,2 stops,No info,13381.0
1472,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,14h,1 stop,No info,15078.0
1473,Air India,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,9h 5m,1 stop,No info,8891.0
1474,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,20h,1 stop,In-flight meal not included,7757.0
1475,Air India,9/04/2019,Banglore,Delhi,BLR → DEL,05:45,3h,non-stop,No info,4441.0
1476,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,22h 25m,1 stop,In-flight meal not included,10031.0
1477,IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,13:00,2h 50m,non-stop,No info,5054.0
1478,Air India,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,9h 5m,1 stop,No info,8576.0
1479,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,19h 35m,1 stop,In-flight meal not included,11087.0
1480,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,26h 35m,1 stop,In-flight meal not included,12373.0
1481,IndiGo,15/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,1h 30m,non-stop,No info,3175.0
1482,IndiGo,12/05/2019,Kolkata,Banglore,CCU → BLR,09:35,2h 45m,non-stop,No info,4804.0
1483,Jet Airways,27/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,26h 55m,2 stops,No info,13014.0
1484,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → HYD → COK,07:10,15h 10m,1 stop,nan,7563.0
1485,IndiGo,21/05/2019,Delhi,Cochin,DEL → HYD → COK,11:55,13h,1 stop,No info,5054.0
1486,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,10h 30m,1 stop,No info,11200.0
1487,Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,19:30,2h 45m,non-stop,No info,5613.0
1488,IndiGo,9/06/2019,Delhi,Cochin,DEL → COK,14:20,3h 15m,non-stop,No info,5601.0
1489,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,22h 35m,1 stop,In-flight meal not included,10262.0
1490,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,24h 45m,1 stop,In-flight meal not included,7064.0
1491,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,11h 55m,1 stop,No info,18371.0
1492,Air India,18/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,23h,2 stops,No info,13591.0
1493,Jet Airways,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,26h 55m,2 stops,In-flight meal not included,11507.0
1494,Air Asia,6/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,8h 20m,2 stops,No info,6810.0
1495,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,9h 20m,1 stop,No info,7485.0
1496,Air India,27/05/2019,Kolkata,Banglore,CCU → BLR,14:15,2h 30m,non-stop,No info,5510.0
1497,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,10h 10m,1 stop,In-flight meal not included,10262.0
1498,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → HYD → COK,07:10,9h,1 stop,No info,6723.0
1499,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,7h 30m,1 stop,No info,8307.0
1500,Jet Airways,27/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,23h 10m,2 stops,No info,11507.0
1501,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,5h 30m,1 stop,No info,14388.0
1502,Jet Airways,6/04/2019,Banglore,Delhi,BLR → DEL,06:00,2h 45m,non-stop,In-flight meal not included,4544.0
1503,Jet Airways,12/04/2019,Banglore,Delhi,BLR → DEL,11:10,2h 55m,non-stop,In-flight meal not included,5198.0
1504,GoAir,01/03/2019,Banglore,New Delhi,BLR → GOI → DEL,15:45,4h 30m,1 stop,No info,12314.0
1505,Air India,15/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,6h 15m,1 stop,No info,8372.0
1506,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,7h 5m,1 stop,No info,14781.0
1507,Jet Airways,24/06/2019,Banglore,Delhi,BLR → DEL,19:50,3h,non-stop,No info,8016.0
1508,IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,07:55,2h 20m,non-stop,No info,6297.0
1509,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,24h 55m,1 stop,No info,14388.0
1510,GoAir,1/06/2019,Delhi,Cochin,DEL → AMD → COK,07:25,6h 10m,1 stop,No info,6393.0
1511,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12h 55m,1 stop,No info,14939.0
1512,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,11h 25m,1 stop,No info,14781.0
1513,SpiceJet,6/04/2019,Banglore,Delhi,BLR → DEL,09:30,2h 50m,non-stop,No check-in baggage included,4319.0
1514,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,16h 45m,1 stop,No info,13067.0
1515,Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,6h 15m,1 stop,In-flight meal not included,9134.0
1516,Air India,24/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12h 15m,1 stop,No info,8879.0
1517,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,17h 5m,1 stop,No info,14571.0
1518,IndiGo,15/06/2019,Kolkata,Banglore,CCU → BLR,09:35,2h 35m,non-stop,No info,5644.0
