Designation,date_of_response,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_USD,Job_Category
Data Analyst,2022-01-28 00:00:00,SE,FT,7455662.0,US,US,M,100.0,89467.944,Data Analytics
Head of Machine Learning,2022-05-12 00:00:00,EX,FT,6289094.0,IN,IN,L,50.0,75469.128,Machine Learning
Data Engineer,2022-07-23 00:00:00,SE,FT,10528636.0,US,US,M,100.0,126343.632,Data Engineering
Machine Learning Engineer,2022-07-20 00:00:00,EN,FT,2967942.0,GB,GB,L,100.0,35615.304000000004,Machine Learning
Data Analyst,2022-05-14 00:00:00,SE,FT,13049398.0,US,US,M,0.0,156592.776,Data Analytics
Data Engineer,2022-05-21 00:00:00,SE,FT,12333273.0,US,US,M,100.0,147999.276,Data Engineering
Machine Learning Engineer,2022-07-08 00:00:00,MI,FT,9893115.0,GB,GB,M,0.0,118717.38,Machine Learning
AI Scientist,2022-09-07 00:00:00,MI,FT,9548340.0,US,US,M,0.0,114580.08,Machine Learning
Data Analyst,2022-03-30 00:00:00,SE,FT,8983397.0,US,US,M,100.0,107800.764,Data Analytics
Data Analyst,2022-01-16 00:00:00,SE,FT,7186717.0,US,US,M,100.0,86240.604,Data Analytics
Data Analytics Manager,2022-01-19 00:00:00,SE,FT,11537578.0,US,US,M,100.0,138450.93600000002,Data Analytics
Data Analytics Manager,2022-01-24 00:00:00,SE,FT,8386625.0,US,US,M,100.0,100639.5,Data Analytics
Data Engineer,2022-11-07 00:00:00,MI,FT,9372412.0,GB,GB,M,0.0,112468.944,Data Engineering
Data Scientist,2022-08-25 00:00:00,SE,FT,17131313.0,US,US,L,100.0,205575.756,Data Science
Data Engineer,2022-04-02 00:00:00,SE,FT,12301445.0,US,US,L,100.0,147617.34,Data Engineering
Data Analyst,2022-09-24 00:00:00,SE,FT,9224810.0,US,US,M,0.0,110697.72,Data Analytics
Data Analyst,2022-01-16 00:00:00,SE,FT,6498123.0,US,US,M,0.0,77977.476,Data Analytics
Data Engineer,2022-04-23 00:00:00,SE,FT,13924663.0,US,US,M,100.0,167095.956,Data Engineering
Data Analyst,2022-11-17 00:00:00,MI,FT,4615031.0,US,US,S,0.0,55380.372,Data Analytics
Data Engineer,2022-10-27 00:00:00,SE,FT,14608960.0,US,US,L,100.0,175307.52,Data Engineering
Data Analyst,2022-03-21 00:00:00,MI,FT,4165543.0,GB,GB,M,100.0,49986.516,Data Analytics
Data Scientist,2022-05-14 00:00:00,SE,FT,14322510.0,US,US,M,100.0,171870.12,Data Science
Data Scientist,2022-10-28 00:00:00,MI,FT,3644840.0,GB,GB,M,0.0,43738.08,Data Science
Data Engineer,2022-10-23 00:00:00,MI,FT,5247529.0,GR,GR,M,100.0,62970.348,Data Engineering
Data Engineer,2022-05-08 00:00:00,MI,FT,3935587.0,GR,GR,M,100.0,47227.044,Data Engineering
Data Engineer,2022-03-10 00:00:00,MI,FT,4686166.0,GB,GB,M,100.0,56233.992,Data Engineering
Data Science Engineer,2022-09-09 00:00:00,SE,FT,4774170.0,AR,MX,L,100.0,57290.04,Other
Machine Learning Scientist,2022-02-27 00:00:00,MI,FT,12731120.0,US,US,L,100.0,152773.44,Machine Learning
Data Science Manager,2022-09-07 00:00:00,MI,FT,19176250.0,US,US,M,100.0,230115.0,Managerial
Data Science Manager,2022-04-02 00:00:00,MI,FT,12651551.0,US,US,M,100.0,151818.612,Managerial
Data Scientist,2022-11-06 00:00:00,SE,FT,6365560.0,US,US,M,0.0,76386.72,Data Science
Data Engineer,2022-05-01 00:00:00,SE,FT,8020606.0,US,US,L,100.0,96247.272,Data Engineering
Data Engineer,2022-07-13 00:00:00,MI,FT,3935587.0,ES,ES,M,100.0,47227.044,Data Engineering
Data Scientist,2022-02-28 00:00:00,SE,FT,11171558.0,US,US,L,0.0,134058.696,Data Science
Data Analyst,2022-08-08 00:00:00,MI,FT,3124137.0,GB,GB,M,100.0,37489.644,Data Analytics
Data Analyst,2022-08-09 00:00:00,MI,FT,2623725.0,ES,ES,M,100.0,31484.7,Data Analytics
Data Engineer,2022-09-24 00:00:00,MI,FT,6122077.0,ES,ES,M,100.0,73464.924,Data Engineering
Data Engineer,2022-01-15 00:00:00,MI,FT,8331086.0,GB,GB,M,100.0,99973.032,Data Engineering
Data Engineer,2022-01-13 00:00:00,MI,FT,5247529.0,ES,ES,M,100.0,62970.348,Data Engineering
Machine Learning Engineer,2022-02-24 00:00:00,SE,FT,15090356.0,US,US,M,0.0,181084.272,Machine Learning
Machine Learning Engineer,2022-04-30 00:00:00,SE,FT,13128649.0,US,US,M,0.0,157543.788,Machine Learning
Data Engineer,2022-09-26 00:00:00,MI,FT,6248275.0,GB,GB,M,100.0,74979.3,Data Engineering
Data Scientist,2022-10-08 00:00:00,SE,FT,17131313.0,US,US,L,0.0,205575.756,Data Science
Data Engineer,2022-02-21 00:00:00,MI,FT,6122077.0,GR,GR,M,100.0,73464.924,Data Engineering
Data Engineer,2022-06-30 00:00:00,SE,FT,16637982.0,US,US,L,100.0,199655.784,Data Engineering
Data Engineer,2022-10-10 00:00:00,SE,FT,12301445.0,US,US,L,100.0,147617.34,Data Engineering
Data Engineer,2022-03-20 00:00:00,SE,FT,14322510.0,US,US,M,100.0,171870.12,Data Engineering
ML Engineer,2022-10-18 00:00:00,EN,FT,1749176.0,PT,PT,L,100.0,20990.112,Machine Learning
Machine Learning Developer,2022-08-24 00:00:00,MI,FT,6269360.0,CA,CA,M,100.0,75232.32,Machine Learning
Director of Data Science,2022-09-24 00:00:00,EX,FT,15673521.0,CA,CA,L,50.0,188082.252,Managerial
Machine Learning Engineer,2022-02-22 00:00:00,MI,FT,9548340.0,US,US,S,100.0,114580.08,Machine Learning
Computer Vision Engineer,2022-08-21 00:00:00,EN,FT,9946188.0,US,US,M,0.0,119354.256,Other
NLP Engineer,2022-08-23 00:00:00,MI,FT,2962850.0,US,US,L,50.0,35554.200000000004,Data Science
Lead Machine Learning Engineer,2022-05-21 00:00:00,SE,FT,6996705.0,DE,DE,M,0.0,83960.46,Machine Learning
Business Data Analyst,2022-03-01 00:00:00,MI,FT,1467421.0,IN,IN,M,100.0,17609.052,Data Analytics
Data Scientist,2022-08-02 00:00:00,MI,FT,2515590.0,IN,IN,L,100.0,30187.08,Data Science
Financial Data Analyst,2022-08-01 00:00:00,EN,FT,7956950.0,US,US,L,50.0,95483.4,Data Analytics
Data Scientist,2022-08-23 00:00:00,EN,FT,1467421.0,IN,IN,M,100.0,17609.052,Data Science
Principal Data Scientist,2022-05-02 00:00:00,SE,FT,12943889.0,DE,DE,M,100.0,155326.668,Data Science
Research Scientist,2022-09-08 00:00:00,SE,FT,11458008.0,US,US,L,50.0,137496.096,Other
Data Scientist,2022-08-02 00:00:00,SE,FT,8346045.0,US,US,M,100.0,100152.54,Data Science
Data Scientist,2022-07-01 00:00:00,SE,FT,11139730.0,US,US,M,100.0,133676.76,Data Science
Data Analyst,2022-06-07 00:00:00,MI,FT,3978475.0,US,US,M,100.0,47741.7,Data Analytics
Data Scientist,2022-02-16 00:00:00,SE,FT,17505290.0,US,US,M,100.0,210063.48,Data Science
Data Scientist,2022-10-18 00:00:00,SE,FT,11139730.0,US,US,M,100.0,133676.76,Data Science
Data Scientist,2022-10-01 00:00:00,MI,FT,14579360.0,GB,GB,M,0.0,174952.32,Data Science
Data Scientist,2022-01-19 00:00:00,SE,FT,14728314.0,US,US,M,100.0,176739.768,Data Science
Machine Learning Engineer,2022-10-16 00:00:00,SE,FT,17505290.0,US,US,M,100.0,210063.48,Machine Learning
Data Scientist,2022-08-16 00:00:00,MI,FT,15913900.0,US,US,M,100.0,190966.8,Data Science
Data Scientist,2022-07-28 00:00:00,MI,FT,9548340.0,US,US,M,100.0,114580.08,Data Science
Machine Learning Engineer,2022-11-03 00:00:00,SE,FT,5172018.0,AE,AE,S,100.0,62064.216,Machine Learning
Data Engineer,2022-08-09 00:00:00,EX,FT,25780518.0,US,US,M,100.0,309366.216,Data Engineering
Machine Learning Engineer,2022-02-16 00:00:00,SE,FT,9548340.0,US,US,M,100.0,114580.08,Machine Learning
Data Scientist,2022-09-01 00:00:00,EN,PT,7956950.0,DZ,DZ,M,50.0,95483.4,Data Science
Data Scientist,2022-08-04 00:00:00,MI,FL,7956950.0,CA,US,M,100.0,95483.4,Data Science
Applied Machine Learning Scientist,2022-11-14 00:00:00,EN,CT,2536278.0,TN,CZ,M,100.0,30435.336,Machine Learning
Principal Data Analyst,2022-07-26 00:00:00,MI,FT,5967713.0,CA,CA,S,100.0,71612.556,Data Analytics
Data Scientist,2022-07-21 00:00:00,MI,FT,2831879.0,PL,PL,L,100.0,33982.548,Data Science
Machine Learning Developer,2022-02-14 00:00:00,SE,FT,6269360.0,CA,CA,M,100.0,75232.32,Machine Learning
Data Engineer,2022-05-21 00:00:00,EN,FT,4617816.0,PK,DE,M,100.0,55413.792,Data Engineering
Data Scientist,2022-03-28 00:00:00,SE,FT,13128968.0,US,US,M,100.0,157547.616,Data Science
Research Scientist,2022-05-23 00:00:00,SE,FT,7433940.0,FR,FR,L,50.0,89207.28,Other
Data Scientist,2022-08-23 00:00:00,EN,FT,4169124.0,CA,CA,L,100.0,50029.488,Data Science
Head of Data,2022-09-27 00:00:00,MI,FT,2623725.0,EE,EE,S,100.0,31484.7,Managerial
Data Scientist,2022-07-20 00:00:00,EN,FT,3182780.0,JP,MY,L,100.0,38193.36,Data Science
Machine Learning Engineer,2022-04-25 00:00:00,MI,FT,6956364.0,AU,AU,L,100.0,83476.368,Machine Learning
Data Scientist,2022-10-08 00:00:00,EN,FT,6898914.0,AU,AU,M,50.0,82786.96800000001,Data Science
Research Scientist,2022-02-09 00:00:00,MI,FT,5160003.0,AT,AT,L,0.0,61920.036,Other
Research Scientist,2022-01-14 00:00:00,EN,FT,9548340.0,US,US,L,100.0,114580.08,Other
Applied Data Scientist,2022-05-30 00:00:00,MI,FT,12492412.0,US,US,L,100.0,149908.944,Data Science
Business Data Analyst,2022-11-25 00:00:00,MI,FT,5642432.0,CA,CA,L,50.0,67709.18400000001,Data Analytics
Data Engineer,2022-08-19 00:00:00,EN,FT,5172018.0,US,US,S,100.0,62064.216,Data Engineering
Data Analytics Engineer,2022-08-03 00:00:00,EN,FT,1591390.0,PK,PK,M,0.0,19096.68,Data Analytics
Data Scientist,2022-09-06 00:00:00,MI,FT,3819336.0,RU,US,S,100.0,45832.032,Data Science
Data Science Manager,2022-10-28 00:00:00,SE,FT,12134349.0,US,US,M,100.0,145612.188,Managerial
Data Scientist,2022-07-30 00:00:00,MI,FT,9735010.0,CH,CH,L,0.0,116820.12,Data Science
Applied Data Scientist,2022-06-27 00:00:00,SE,FT,30236410.0,US,US,L,100.0,362836.92,Data Science
Computer Vision Engineer,2022-01-23 00:00:00,EN,FT,795695.0,PT,LU,M,100.0,9548.34,Other
Data Analytics Lead,2022-01-06 00:00:00,SE,FT,32225648.0,US,US,L,100.0,386707.776,Data Analytics
Data Scientist,2022-06-09 00:00:00,MI,FT,10741883.0,US,US,L,100.0,128902.596,Data Science
Data Scientist,2022-01-15 00:00:00,MI,FT,6206421.0,US,US,M,100.0,74477.052,Data Science
Data Analyst,2022-08-02 00:00:00,SE,FT,10741883.0,US,US,M,100.0,128902.596,Data Analytics
Data Analyst,2022-01-20 00:00:00,SE,FT,7186717.0,US,US,M,100.0,86240.604,Data Analytics
Data Analyst,2022-11-02 00:00:00,MI,FT,5967713.0,CA,CA,M,0.0,71612.556,Data Analytics
Machine Learning Engineer,2022-11-14 00:00:00,SE,FT,15325086.0,US,US,M,100.0,183901.032,Machine Learning
Data Architect,2022-05-15 00:00:00,SE,FT,21197315.0,US,US,M,100.0,254367.78,Data Engineering
Data Architect,2022-07-18 00:00:00,SE,FT,16957852.0,US,US,M,100.0,203494.224,Data Engineering
Data Analyst,2022-10-15 00:00:00,SE,FT,8983397.0,US,US,M,100.0,107800.764,Data Analytics
Data Engineer,2022-03-19 00:00:00,SE,FT,12333273.0,US,US,M,100.0,147999.276,Data Engineering
Data Scientist,2022-03-08 00:00:00,MI,FT,11243170.0,US,US,M,0.0,134918.04,Data Science
Data Scientist,2022-11-13 00:00:00,MI,FT,8124046.0,US,US,M,0.0,97488.552,Data Science
Data Analyst,2022-02-01 00:00:00,SE,FT,6498123.0,US,US,M,100.0,77977.476,Data Analytics
Data Engineer,2022-03-20 00:00:00,MI,FT,16446936.0,US,US,M,0.0,197363.232,Data Engineering
Data Engineer,2022-07-23 00:00:00,MI,FT,7885337.0,US,US,M,0.0,94624.044,Data Engineering
Data Engineer,2022-11-12 00:00:00,SE,FT,10344035.0,US,US,M,100.0,124128.42,Data Engineering
Data Engineer,2022-11-06 00:00:00,SE,FT,9150493.0,US,US,M,100.0,109805.916,Data Engineering
Data Engineer,2022-03-25 00:00:00,SE,FT,10344035.0,US,US,M,100.0,124128.42,Data Engineering
Data Analyst,2022-04-16 00:00:00,SE,FT,7881359.0,US,US,M,100.0,94576.308,Data Analytics
Data Engineer,2022-10-11 00:00:00,SE,FT,12731120.0,US,US,M,100.0,152773.44,Data Engineering
Data Scientist,2022-04-03 00:00:00,SE,FT,14004232.0,US,US,M,100.0,168050.784,Data Science
Data Scientist,2022-06-30 00:00:00,SE,FT,11458008.0,US,US,M,100.0,137496.096,Data Science
Data Engineer,2022-09-03 00:00:00,SE,FT,15921857.0,US,US,M,100.0,191062.284,Data Engineering
Data Engineer,2022-10-23 00:00:00,SE,FT,11537578.0,US,US,M,100.0,138450.93600000002,Data Engineering
Data Engineer,2022-06-17 00:00:00,SE,FT,5609650.0,US,US,M,0.0,67315.8,Data Engineering
Data Scientist,2022-09-07 00:00:00,SE,FT,11171558.0,US,US,M,0.0,134058.696,Data Science
Analytics Engineer,2022-08-23 00:00:00,SE,FT,14696487.0,US,US,M,0.0,176357.844,Data Analytics
Data Engineer,2022-08-03 00:00:00,SE,FT,13932619.0,US,US,M,100.0,167191.428,Data Engineering
Data Engineer,2022-09-21 00:00:00,SE,FT,11159622.0,US,US,M,100.0,133915.464,Data Engineering
Data Engineer,2022-09-12 00:00:00,SE,FT,4296753.0,US,US,M,0.0,51561.036,Data Engineering
Data Analyst,2022-05-21 00:00:00,SE,FT,13526815.0,US,US,M,100.0,162321.78,Data Analytics
Data Analyst,2022-06-10 00:00:00,SE,FT,6365560.0,US,US,M,100.0,76386.72,Data Analytics
Data Scientist,2022-01-15 00:00:00,SE,FT,11139730.0,US,US,M,100.0,133676.76,Data Science
Data Scientist,2022-05-10 00:00:00,SE,FT,11139730.0,US,US,M,100.0,133676.76,Data Science
Data Analyst,2022-01-05 00:00:00,SE,FT,5490296.0,US,US,M,100.0,65883.552,Data Analytics
Data Scientist,2022-03-11 00:00:00,SE,FT,16709595.0,US,US,M,100.0,200515.14,Data Science
Data Analyst,2022-05-18 00:00:00,SE,FT,11941393.0,US,US,M,100.0,143296.716,Data Analytics
Data Engineer,2022-08-03 00:00:00,SE,FT,7956950.0,US,US,M,100.0,95483.4,Data Engineering
Data Engineer,2022-07-16 00:00:00,SE,FT,1989238.0,US,US,M,100.0,23870.856,Data Engineering
Data Analyst,2022-05-14 00:00:00,SE,FT,8455055.0,US,US,M,100.0,101460.66,Data Analytics
Data Engineer,2022-11-04 00:00:00,SE,FT,17514043.0,US,US,M,100.0,210168.516,Data Engineering
Data Engineer,2022-08-14 00:00:00,SE,FT,12737486.0,US,US,M,100.0,152849.832,Data Engineering
Data Analyst,2022-02-11 00:00:00,SE,FT,8354798.0,US,US,M,100.0,100257.576,Data Analytics
Data Analyst,2022-08-19 00:00:00,MI,FT,3644840.0,GB,GB,M,0.0,43738.08,Data Analytics
Data Scientist,2022-08-15 00:00:00,SE,FT,11139730.0,US,US,M,100.0,133676.76,Data Science
Data Architect,2022-03-28 00:00:00,SE,FT,11525960.0,US,US,M,100.0,138311.52,Data Engineering
Data Scientist,2022-10-16 00:00:00,SE,FT,18300985.0,US,US,M,100.0,219611.82,Data Science
Data Scientist,2022-01-02 00:00:00,SE,FT,11935425.0,US,US,M,100.0,143225.1,Data Science
Data Analytics Manager,2022-02-03 00:00:00,SE,FT,8695355.0,US,US,M,100.0,104344.26,Data Analytics
Data Scientist,2022-09-21 00:00:00,SE,FT,16709595.0,US,US,M,100.0,200515.14,Data Science
Data Analyst,2022-10-13 00:00:00,SE,FT,13526815.0,US,US,M,100.0,162321.78,Data Analytics
Data Scientist,2022-02-26 00:00:00,MI,FT,10344035.0,US,US,M,100.0,124128.42,Data Science
Data Analyst,2022-05-10 00:00:00,EN,FT,4137614.0,CA,CA,M,0.0,49651.368,Data Analytics
Data Engineer,2022-10-27 00:00:00,SE,FT,12253703.0,US,US,M,100.0,147044.43600000002,Data Engineering
Data Engineer,2022-08-25 00:00:00,SE,FT,10025757.0,US,US,M,100.0,120309.084,Data Engineering
Data Analyst,2022-08-11 00:00:00,SE,FT,10264466.0,US,US,M,0.0,123173.592,Data Analytics
Data Analyst,2022-06-15 00:00:00,SE,FT,11935425.0,US,US,M,100.0,143225.1,Data Analytics
AI Scientist,2022-06-10 00:00:00,MI,FT,15913900.0,IN,US,L,100.0,190966.8,Machine Learning
