time_id,day,month,quarter,year
3164,6,3,1,2018
3165,4,5,2,2018
3166,4,11,4,2018
3167,10,9,3,2017
3168,19,5,2,2018
3169,5,2,1,2018
3170,20,6,2,2018
3171,13,5,2,2017
3172,23,4,2,2017
3173,14,12,4,2017
3174,24,10,4,2017
3175,5,1,1,2017
3176,21,7,3,2018
3177,20,10,4,2018
3178,27,11,4,2018
3179,5,7,3,2017
3180,15,12,4,2018
3181,2,5,2,2017
3182,18,9,3,2017
3183,27,9,3,2017
3184,13,12,4,2017
3185,8,3,1,2018
3186,7,2,1,2017
3187,23,8,3,2018
3188,7,6,2,2018
3189,25,5,2,2018
3190,2,7,3,2018
3191,13,7,3,2017
3192,28,7,3,2017
3193,22,1,1,2017
3194,20,12,4,2018
3195,27,5,2,2017
3196,22,7,3,2018
3197,15,12,4,2018
3198,5,3,1,2017
3199,16,10,4,2018
3200,27,8,3,2018
3201,22,7,3,2018
3202,12,5,2,2018
3203,28,4,2,2018
3204,11,3,1,2017
3205,8,1,1,2018
3206,22,8,3,2017
3207,26,9,3,2018
3208,18,7,3,2018
3209,10,11,4,2017
3210,4,6,2,2018
3211,26,2,1,2017
3212,4,2,1,2017
3213,14,11,4,2018
3214,28,12,4,2018
3215,10,6,2,2017
3216,13,6,2,2017
3217,11,11,4,2017
3218,24,10,4,2017
3219,12,4,2,2018
3220,10,12,4,2018
3221,28,11,4,2017
3222,22,2,1,2018
3223,3,9,3,2018
3224,25,1,1,2018
3225,9,3,1,2018
3226,22,10,4,2017
3227,14,11,4,2017
3228,1,10,4,2018
3229,27,2,1,2018
3230,11,4,2,2018
3231,20,6,2,2018
3232,3,12,4,2017
3233,24,10,4,2018
3234,20,3,1,2017
3235,16,5,2,2018
3236,16,2,1,2017
3237,15,3,1,2017
3238,11,7,3,2017
3239,6,12,4,2017
3240,2,10,4,2017
3241,21,12,4,2017
3242,20,3,1,2018
3243,15,11,4,2017
3244,10,4,2,2018
3245,28,3,1,2018
3246,11,11,4,2017
3247,8,7,3,2017
3248,15,11,4,2018
3249,4,12,4,2018
3250,12,5,2,2017
3251,24,1,1,2017
3252,28,8,3,2018
3253,9,2,1,2017
3254,24,7,3,2017
3255,10,6,2,2017
3256,28,1,1,2017
3257,17,3,1,2018
3258,18,12,4,2018
3259,7,6,2,2018
3260,20,4,2,2018
3261,22,10,4,2017
3262,23,2,1,2017
3263,17,11,4,2018
3264,2,6,2,2017
3265,5,4,2,2018
3266,28,6,2,2017
3267,7,5,2,2018
3268,24,7,3,2017
3269,16,9,3,2017
3270,11,9,3,2018
3271,12,2,1,2017
3272,1,5,2,2017
3273,24,8,3,2018
3274,4,3,1,2018
3275,11,10,4,2017
3276,5,1,1,2017
3277,1,4,2,2018
3278,2,12,4,2018
3279,14,4,2,2018
3280,25,9,3,2018
3281,28,3,1,2017
3282,10,12,4,2017
3283,6,11,4,2017
3284,16,5,2,2018
3285,26,9,3,2017
3286,13,6,2,2017
3287,8,8,3,2017
3288,3,8,3,2017
3289,5,2,1,2017
3290,25,2,1,2017
3291,2,7,3,2018
3292,13,7,3,2017
3293,27,8,3,2017
3294,11,12,4,2017
3295,1,9,3,2018
3296,8,10,4,2017
3297,2,9,3,2018
3298,22,3,1,2018
3299,15,11,4,2018
3300,8,2,1,2017
3301,14,8,3,2018
3302,17,9,3,2017
3303,21,2,1,2017
3304,4,8,3,2018
3305,22,2,1,2017
3306,17,11,4,2017
3307,8,3,1,2017
3308,11,5,2,2018
3309,16,1,1,2017
3310,16,8,3,2017
3311,28,5,2,2018
3312,3,2,1,2018
3313,9,1,1,2018
3314,7,1,1,2018
3315,16,9,3,2017
3316,20,11,4,2018
3317,3,1,1,2017
3318,19,3,1,2017
3319,13,8,3,2018
3320,25,4,2,2017
3321,8,1,1,2017
3322,22,11,4,2018
3323,10,2,1,2018
3324,27,4,2,2017
3325,16,1,1,2017
3326,23,6,2,2018
3327,12,1,1,2018
3328,22,11,4,2018
3329,13,2,1,2017
3330,28,6,2,2017
3331,8,1,1,2017
3332,11,1,1,2018
3333,5,10,4,2017
3334,27,10,4,2017
3335,18,9,3,2018
3336,2,3,1,2018
3337,11,6,2,2017
3338,21,3,1,2018
3339,23,10,4,2017
3340,4,2,1,2017
3341,15,7,3,2018
3342,15,8,3,2018
3343,20,5,2,2018
3344,3,10,4,2018
3345,9,12,4,2018
3346,10,3,1,2018
3347,23,3,1,2017
3348,5,4,2,2018
3349,28,4,2,2018
3350,28,3,1,2017
3351,14,6,2,2017
3352,16,5,2,2017
3353,16,4,2,2018
3354,5,5,2,2018
3355,26,3,1,2018
3356,4,3,1,2017
3357,25,3,1,2018
3358,5,1,1,2017
3359,8,6,2,2018
3360,20,11,4,2018
3361,28,11,4,2017
3362,19,9,3,2017
3363,27,8,3,2017
3364,21,2,1,2017
3365,6,12,4,2017
3366,10,3,1,2017
3367,19,9,3,2017
3368,9,6,2,2017
3369,8,6,2,2018
3370,21,7,3,2017
3371,1,11,4,2018
3372,14,5,2,2017
3373,14,9,3,2018
3374,9,3,1,2018
3375,25,10,4,2017
3376,27,10,4,2018
3377,4,11,4,2018
3378,2,1,1,2018
3379,5,1,1,2017
3380,16,5,2,2018
3381,10,8,3,2017
3382,22,11,4,2017
3383,18,2,1,2018
3384,2,3,1,2018
3385,2,2,1,2018
3386,24,6,2,2018
3387,1,10,4,2018
3388,19,7,3,2017
3389,9,5,2,2017
3390,1,3,1,2017
3391,10,11,4,2018
3392,17,8,3,2018
3393,6,1,1,2017
3394,17,1,1,2017
3395,6,7,3,2018
3396,23,10,4,2017
3397,11,9,3,2017
3398,5,8,3,2018
3399,27,5,2,2017
3400,1,12,4,2017
3401,22,7,3,2017
3402,3,11,4,2018
3403,25,5,2,2018
3404,11,2,1,2017
3405,12,3,1,2018
3406,24,11,4,2017
3407,23,11,4,2018
3408,24,7,3,2018
3409,16,5,2,2018
3410,23,4,2,2017
3411,2,8,3,2018
3412,2,6,2,2018
3413,15,12,4,2017
3414,1,8,3,2017
3415,28,4,2,2017
3416,9,9,3,2017
3417,28,8,3,2018
3418,21,8,3,2018
3419,22,4,2,2018
3420,23,1,1,2017
3421,2,11,4,2017
3422,9,3,1,2018
3423,8,2,1,2017
3424,9,3,1,2018
3425,11,9,3,2018
3426,4,6,2,2017
3427,22,12,4,2017
3428,10,2,1,2017
3429,27,9,3,2018
3430,4,8,3,2018
3431,2,12,4,2018
3432,28,1,1,2017
3433,17,10,4,2017
3434,15,5,2,2018
3435,20,7,3,2017
3436,7,11,4,2018
3437,28,3,1,2017
3438,16,10,4,2018
3439,19,3,1,2017
3440,26,12,4,2017
3441,20,5,2,2018
3442,10,7,3,2017
3443,26,12,4,2017
3444,13,8,3,2018
3445,24,12,4,2017
3446,21,11,4,2017
3447,27,10,4,2017
3448,21,7,3,2018
3449,8,2,1,2017
3450,22,3,1,2017
3451,20,9,3,2018
3452,22,8,3,2018
3453,9,1,1,2018
3454,12,1,1,2017
3455,6,2,1,2017
3456,19,2,1,2018
3457,18,6,2,2018
3458,27,9,3,2017
3459,25,5,2,2017
3460,13,10,4,2018
3461,16,10,4,2017
3462,27,4,2,2018
3463,18,10,4,2017
3464,7,6,2,2017
3465,23,2,1,2017
3466,28,2,1,2017
3467,7,3,1,2017
3468,12,3,1,2018
3469,22,12,4,2018
3470,16,1,1,2017
3471,2,11,4,2018
3472,21,8,3,2018
3473,15,1,1,2018
3474,11,5,2,2018
3475,20,11,4,2018
3476,4,4,2,2018
3477,12,8,3,2017
3478,21,3,1,2018
3479,6,11,4,2018
3480,1,2,1,2017
3481,1,2,1,2017
3482,5,9,3,2017
3483,10,1,1,2017
3484,22,12,4,2017
3485,5,8,3,2018
3486,28,5,2,2017
3487,3,10,4,2017
3488,24,4,2,2017
3489,23,8,3,2017
3490,18,1,1,2017
3491,20,9,3,2017
3492,21,11,4,2017
3493,12,5,2,2017
3494,23,7,3,2017
3495,25,12,4,2017
3496,23,5,2,2017
3497,15,10,4,2017
3498,5,10,4,2017
3499,6,6,2,2017
3500,4,10,4,2017
3501,3,8,3,2017
3502,2,3,1,2017
3503,12,7,3,2018
3504,26,3,1,2018
3505,5,6,2,2017
3506,1,9,3,2017
3507,11,4,2,2018
3508,1,1,1,2017
3509,26,7,3,2017
3510,22,12,4,2017
3511,6,8,3,2017
3512,21,11,4,2017
3513,15,9,3,2017
3514,5,6,2,2017
3515,23,1,1,2017
3516,28,5,2,2018
3517,11,8,3,2017
3518,15,9,3,2017
3519,3,1,1,2017
3520,21,6,2,2018
3521,9,1,1,2017
3522,1,9,3,2018
3523,3,1,1,2017
3524,17,1,1,2017
3525,22,10,4,2018
3526,12,6,2,2018
3527,15,7,3,2018
3528,17,8,3,2017
3529,10,7,3,2018
3530,21,1,1,2017
3531,20,2,1,2017
3532,7,3,1,2018
3533,28,1,1,2018
3534,12,12,4,2017
3535,1,10,4,2017
3536,7,6,2,2018
3537,6,6,2,2018
3538,20,5,2,2018
3539,22,1,1,2018
3540,16,10,4,2018
3541,17,2,1,2018
3542,17,5,2,2017
3543,8,1,1,2018
3544,10,2,1,2017
3545,26,7,3,2018
3546,11,6,2,2017
3547,17,7,3,2018
3548,16,7,3,2017
3549,1,8,3,2018
3550,6,8,3,2018
3551,8,6,2,2017
3552,1,1,1,2017
3553,25,5,2,2018
3554,25,7,3,2017
3555,10,10,4,2017
3556,1,2,1,2017
3557,21,6,2,2018
3558,12,5,2,2018
3559,7,5,2,2017
3560,11,2,1,2018
3561,17,7,3,2017
3562,4,12,4,2017
3563,17,7,3,2017
3564,1,3,1,2018
3565,22,7,3,2017
3566,25,3,1,2018
3567,4,5,2,2018
3568,16,3,1,2018
3569,3,9,3,2018
3570,11,7,3,2017
3571,15,3,1,2018
3572,4,10,4,2017
3573,11,8,3,2018
3574,27,1,1,2017
3575,10,10,4,2018
3576,28,5,2,2017
3577,14,2,1,2018
3578,15,4,2,2017
3579,9,6,2,2018
3580,13,9,3,2017
3581,11,10,4,2017
3582,26,1,1,2018
3583,15,5,2,2017
3584,10,7,3,2017
3585,6,12,4,2017
3586,17,3,1,2018
3587,21,7,3,2017
3588,1,5,2,2017
3589,27,10,4,2018
3590,15,7,3,2018
3591,23,5,2,2018
3592,27,4,2,2017
3593,22,8,3,2018
3594,18,3,1,2018
3595,22,9,3,2017
3596,24,4,2,2017
3597,19,8,3,2017
3598,27,2,1,2017
3599,11,3,1,2018
3600,7,11,4,2018
3601,11,12,4,2017
3602,19,4,2,2018
3603,19,2,1,2018
3604,1,9,3,2018
3605,10,10,4,2018
3606,27,3,1,2017
3607,6,1,1,2017
3608,22,11,4,2017
3609,13,10,4,2017
3610,9,5,2,2017
3611,22,9,3,2017
3612,2,7,3,2018
3613,8,5,2,2017
3614,12,7,3,2017
3615,19,5,2,2018
3616,2,1,1,2017
3617,12,9,3,2017
3618,18,7,3,2017
3619,24,9,3,2017
3620,4,10,4,2017
3621,9,9,3,2018
3622,7,2,1,2018
3623,6,4,2,2017
3624,13,10,4,2018
3625,9,10,4,2018
3626,25,10,4,2017
3627,19,9,3,2017
3628,1,3,1,2018
3629,24,11,4,2018
3630,11,10,4,2018
3631,15,7,3,2018
3632,24,12,4,2018
3633,1,6,2,2018
3634,9,2,1,2018
3635,25,6,2,2018
3636,12,1,1,2018
3637,11,5,2,2017
3638,16,11,4,2018
3639,22,8,3,2017
3640,19,11,4,2017
3641,28,8,3,2017
3642,8,11,4,2017
3643,7,6,2,2017
3644,26,5,2,2018
3645,3,5,2,2017
3646,7,6,2,2018
3647,18,12,4,2018
3648,20,4,2,2017
3649,20,5,2,2018
3650,20,2,1,2018
3651,12,11,4,2018
3652,1,1,1,2018
3653,25,9,3,2018
3654,26,9,3,2018
3655,20,12,4,2017
3656,28,7,3,2018
3657,4,2,1,2018
3658,24,2,1,2018
3659,24,12,4,2018
3660,5,11,4,2017
3661,12,3,1,2018
3662,1,1,1,2017
3663,28,12,4,2017
3664,27,7,3,2018
3665,20,3,1,2018
3666,17,6,2,2017
3667,9,2,1,2017
3668,12,5,2,2018
3669,3,4,2,2017
3670,14,4,2,2017
3671,13,7,3,2017
3672,14,10,4,2017
3673,3,8,3,2017
3674,16,11,4,2018
3675,27,3,1,2017
3676,10,4,2,2018
3677,26,6,2,2017
3678,8,3,1,2017
3679,18,9,3,2017
3680,2,9,3,2018
3681,19,10,4,2018
3682,11,11,4,2017
3683,25,11,4,2018
3684,20,11,4,2018
3685,16,4,2,2018
3686,14,9,3,2017
3687,18,3,1,2018
3688,2,8,3,2017
3689,19,9,3,2017
3690,25,12,4,2018
3691,21,5,2,2018
3692,6,11,4,2017
3693,7,6,2,2018
3694,9,7,3,2017
3695,26,3,1,2018
3696,12,9,3,2018
3697,6,2,1,2018
3698,20,5,2,2018
3699,6,8,3,2017
3700,4,6,2,2018
3701,9,9,3,2017
3702,15,1,1,2017
3703,2,1,1,2018
3704,5,9,3,2017
3705,3,3,1,2017
3706,7,5,2,2017
3707,12,9,3,2017
3708,15,6,2,2018
3709,22,3,1,2018
3710,3,10,4,2018
3711,6,6,2,2018
3712,24,7,3,2017
3713,2,10,4,2018
3714,7,8,3,2017
3715,18,11,4,2018
3716,8,5,2,2018
3717,26,6,2,2017
3718,3,10,4,2017
3719,27,5,2,2018
3720,18,3,1,2018
3721,21,3,1,2017
3722,13,10,4,2017
3723,10,2,1,2017
3724,27,6,2,2018
3725,18,1,1,2018
3726,13,8,3,2018
3727,18,10,4,2018
3728,5,6,2,2018
3729,1,7,3,2017
3730,11,7,3,2017
3731,9,9,3,2018
3732,15,7,3,2018
3733,22,3,1,2017
3734,8,5,2,2017
3735,13,3,1,2018
3736,6,11,4,2018
3737,12,5,2,2018
3738,28,8,3,2017
3739,19,3,1,2017
3740,17,9,3,2017
3741,24,12,4,2017
3742,21,5,2,2018
3743,21,7,3,2018
3744,18,11,4,2018
3745,12,9,3,2017
3746,6,1,1,2018
3747,8,4,2,2017
3748,3,10,4,2018
3749,11,9,3,2018
3750,19,12,4,2018
3751,11,7,3,2017
3752,8,12,4,2017
3753,7,9,3,2018
3754,21,11,4,2018
3755,19,3,1,2017
3756,9,10,4,2017
3757,3,7,3,2018
3758,14,8,3,2018
3759,18,9,3,2018
3760,1,7,3,2017
3761,12,7,3,2018
3762,2,10,4,2018
3763,4,8,3,2018
3764,26,4,2,2017
3765,7,6,2,2017
3766,28,10,4,2017
3767,14,1,1,2017
3768,27,10,4,2017
3769,25,6,2,2017
3770,25,4,2,2017
3771,10,8,3,2018
3772,3,6,2,2018
3773,12,6,2,2018
3774,27,10,4,2017
3775,22,12,4,2018
3776,8,4,2,2017
3777,28,11,4,2018
3778,21,2,1,2018
3779,10,8,3,2018
3780,17,12,4,2018
3781,14,7,3,2018
3782,4,1,1,2018
3783,8,11,4,2017
3784,11,2,1,2018
3785,1,3,1,2017
3786,23,7,3,2017
3787,5,10,4,2017
3788,11,8,3,2018
3789,20,10,4,2018
3790,12,5,2,2017
3791,2,2,1,2018
3792,23,6,2,2017
3793,15,9,3,2018
3794,14,11,4,2018
3795,3,8,3,2017
3796,2,8,3,2018
3797,16,10,4,2017
3798,1,1,1,2017
3799,11,5,2,2017
3800,24,1,1,2018
3801,13,7,3,2017
3802,10,10,4,2018
3803,19,8,3,2018
3804,18,7,3,2018
3805,5,11,4,2018
3806,22,3,1,2018
3807,25,7,3,2018
3808,16,7,3,2018
3809,19,8,3,2018
3810,27,4,2,2017
3811,22,6,2,2018
3812,25,8,3,2017
3813,6,10,4,2018
3814,4,2,1,2017
3815,3,6,2,2018
3816,17,6,2,2018
3817,23,8,3,2017
3818,3,11,4,2017
3819,13,5,2,2017
3820,12,6,2,2017
3821,16,1,1,2018
3822,12,6,2,2017
3823,26,7,3,2017
3824,27,2,1,2017
3825,16,11,4,2017
3826,2,3,1,2018
3827,16,12,4,2018
3828,17,9,3,2017
3829,10,5,2,2018
3830,11,1,1,2017
3831,16,1,1,2018
3832,10,11,4,2017
3833,17,5,2,2018
3834,3,5,2,2017
3835,14,2,1,2018
3836,16,10,4,2017
3837,20,3,1,2018
3838,14,7,3,2017
3839,25,12,4,2018
3840,17,7,3,2017
3841,4,1,1,2018
3842,10,4,2,2017
3843,7,3,1,2017
3844,14,9,3,2017
3845,20,8,3,2018
3846,16,10,4,2017
3847,24,11,4,2018
3848,17,2,1,2017
3849,2,11,4,2017
3850,14,2,1,2017
3851,5,10,4,2018
3852,8,9,3,2018
3853,14,5,2,2017
3854,20,9,3,2018
3855,26,3,1,2018
3856,2,6,2,2017
3857,18,2,1,2017
3858,17,8,3,2017
3859,4,10,4,2018
3860,11,12,4,2017
3861,8,1,1,2018
3862,10,2,1,2017
3863,15,8,3,2018
3864,10,12,4,2017
3865,24,5,2,2017
3866,6,8,3,2018
3867,27,9,3,2017
3868,1,3,1,2018
3869,2,10,4,2017
3870,23,12,4,2017
3871,12,5,2,2018
3872,19,5,2,2018
3873,14,6,2,2017
3874,18,2,1,2018
3875,12,9,3,2018
3876,5,12,4,2017
3877,13,3,1,2018
3878,18,10,4,2017
3879,3,1,1,2018
3880,13,1,1,2017
3881,16,2,1,2017
3882,27,1,1,2017
3883,26,1,1,2017
3884,18,5,2,2017
3885,5,11,4,2018
3886,13,7,3,2017
3887,9,3,1,2018
3888,22,9,3,2017
3889,10,10,4,2017
3890,12,8,3,2017
3891,26,2,1,2017
3892,4,11,4,2018
3893,21,7,3,2018
3894,28,9,3,2017
3895,21,8,3,2018
3896,25,10,4,2018
3897,28,2,1,2018
3898,15,4,2,2017
3899,9,3,1,2017
3900,8,6,2,2017
3901,22,7,3,2017
3902,20,1,1,2018
3903,19,7,3,2018
3904,22,8,3,2018
3905,10,9,3,2018
3906,21,8,3,2018
3907,1,12,4,2018
3908,17,9,3,2018
3909,24,11,4,2018
3910,11,11,4,2017
3911,3,3,1,2018
3912,19,10,4,2018
3913,20,8,3,2018
3914,6,2,1,2017
3915,11,7,3,2017
3916,17,1,1,2017
3917,4,9,3,2018
3918,25,7,3,2018
3919,9,11,4,2017
3920,28,2,1,2018
3921,24,3,1,2018
3922,13,2,1,2017
3923,5,9,3,2017
3924,10,12,4,2018
3925,25,7,3,2018
3926,15,4,2,2018
3927,2,7,3,2017
3928,9,11,4,2018
3929,19,8,3,2018
3930,8,2,1,2018
3931,12,8,3,2018
3932,24,2,1,2017
3933,13,11,4,2018
3934,5,11,4,2017
3935,4,8,3,2018
3936,15,1,1,2017
3937,1,4,2,2017
3938,5,12,4,2018
3939,11,4,2,2018
3940,2,5,2,2017
3941,26,3,1,2018
3942,18,3,1,2017
3943,5,12,4,2017
3944,17,3,1,2017
3945,22,9,3,2017
3946,23,7,3,2018
3947,5,7,3,2017
3948,5,11,4,2018
3949,25,11,4,2018
3950,26,11,4,2018
3951,14,11,4,2017
3952,26,3,1,2017
3953,1,11,4,2017
3954,17,2,1,2017
3955,8,5,2,2018
3956,5,12,4,2017
3957,15,1,1,2018
3958,22,9,3,2018
3959,21,3,1,2017
3960,12,10,4,2017
3961,23,9,3,2017
3962,14,7,3,2017
3963,22,11,4,2018
3964,1,8,3,2017
3965,9,1,1,2018
3966,21,2,1,2018
3967,1,11,4,2018
3968,11,11,4,2018
3969,25,11,4,2018
3970,9,10,4,2017
3971,5,5,2,2017
3972,12,9,3,2017
3973,6,12,4,2017
3974,5,5,2,2017
3975,23,8,3,2017
3976,2,3,1,2018
3977,15,7,3,2017
3978,3,8,3,2018
3979,3,12,4,2017
3980,17,1,1,2018
3981,16,3,1,2018
3982,11,3,1,2017
3983,5,6,2,2017
3984,20,9,3,2018
3985,27,4,2,2018
3986,12,8,3,2018
3987,19,2,1,2018
3988,1,1,1,2018
3989,14,9,3,2018
3990,16,7,3,2018
3991,14,12,4,2017
3992,11,6,2,2017
3993,17,12,4,2018
3994,11,2,1,2017
3995,4,12,4,2018
3996,7,10,4,2017
3997,16,11,4,2018
3998,15,6,2,2017
3999,3,11,4,2018
