PlayerName,Age,Height_cm,Weight_kg,Country,College,DraftYear,DraftRound,DraftNumber
Nikola Mirotic,27,208.28,107.1,Montenegro,None,2011,2011,2011
Nikola Vucevic,27,213.36,117,Montenegro,Southern California,2011,2011,2011
Noah Vonleh,22,205.74,110.25,USA,Indiana,2014,2014,2014
Norman Powell,25,193.04,96.75,USA,UCLA,2015,2015,2015
OG Anunoby,20,203.2,105.75,United Kingdom,Indiana,2017,2017,2017
Okaro White,25,203.2,96.75,USA,Florida State,null,null,null
Omari Johnson,29,205.74,99,Jamaica,Oregon State,null,null,null
Omer Asik,31,213.36,114.75,Turkey,None,2008,2008,2008
Omri Casspi,30,205.74,101.25,Israel,None,2009,2009,2009
Otto Porter,25,203.2,89.1,USA,Georgetown,2013,2013,2013
P.J. Dozier,21,198.12,92.25,USA,South Carolina,null,null,null
P.J. Tucker,33,198.12,110.25,USA,Texas,2006,2006,2006
Pascal Siakam,24,205.74,103.5,Cameroon,New Mexico State,2016,2016,2016
Pat Connaughton,25,195.58,94.5,USA,Notre Dame,2015,2015,2015
Patrick Beverley,29,185.42,83.25,USA,Arkansas,2009,2009,2009
Patrick McCaw,22,200.66,83.25,USA,Nevada-Las Vegas,2016,2016,2016
Patrick Patterson,29,205.74,103.5,USA,Kentucky,2010,2010,2010
Patty Mills,29,182.88,83.25,Australia,Saint Mary's (CA),2009,2009,2009
Pau Gasol,37,213.36,112.5,Spain,None,2001,2001,2001
Paul George,28,205.74,99,USA,Fresno State,2010,2010,2010
Paul Millsap,33,203.2,110.7,USA,Louisiana Tech,2006,2006,2006
Paul Zipser,24,203.2,101.7,Germany,None,2016,2016,2016
Quincy Acy,27,200.66,108,USA,Baylor,2012,2012,2012
Quincy Pondexter,30,200.66,101.25,USA,Washington,2010,2010,2010
Quinn Cook,25,187.96,80.55,USA,Duke,null,null,null
R.J. Hunter,24,195.58,83.25,USA,Georgia State,2015,2015,2015
Rajon Rondo,32,185.42,83.7,USA,Kentucky,2006,2006,2006
Ramon Sessions,32,190.5,85.5,USA,Nevada,2007,2007,2007
Rashad Vaughn,21,198.12,90.9,USA,UNLV,2015,2015,2015
Raul Neto,26,185.42,80.55,Brazil,None,2013,2013,2013
Raymond Felton,34,185.42,92.25,USA,North Carolina,2005,2005,2005
Reggie Bullock,27,200.66,92.25,USA,North Carolina,2013,2013,2013
Reggie Hearn,26,195.58,94.5,USA,Northwestern,null,null,null
Reggie Jackson,28,190.5,93.6,USA,Boston College,2011,2011,2011
Richard Jefferson,38,200.66,104.85,USA,Arizona,2001,2001,2001
Richaun Holmes,24,208.28,105.75,USA,Bowling Green,2015,2015,2015
Ricky Rubio,27,193.04,85.5,Spain,None,2009,2009,2009
Robert Covington,27,205.74,101.25,USA,Tennessee State,null,null,null
Robin Lopez,30,213.36,124.65,USA,Stanford,2008,2008,2008
Rodney Hood,25,203.2,92.7,USA,Duke,2014,2014,2014
Rodney McGruder,26,193.04,90,USA,Kansas State,null,null,null
Rodney Purvis,24,193.04,92.25,USA,Connecticut,null,null,null
Ron Baker,25,193.04,99,USA,Wichita State,null,null,null
Rondae Hollis-Jefferson,23,200.66,96.3,USA,Arizona,2015,2015,2015
Royce O'Neale,25,198.12,101.7,USA,Baylor,null,null,null
Rudy Gay,31,203.2,103.5,USA,Connecticut,2006,2006,2006
Rudy Gobert,26,215.9,110.25,France,None,2013,2013,2013
Russell Westbrook,29,190.5,90,USA,UCLA,2008,2008,2008
Ryan Anderson,30,208.28,108,USA,California,2008,2008,2008
Ryan Arcidiacono,24,190.5,87.75,USA,Villanova,null,null,null
Salah Mejri,32,218.44,105.75,Tunisia,None,null,null,null
Sam Dekker,24,205.74,103.5,USA,Wisconsin,2015,2015,2015
Scotty Hopson,28,200.66,91.8,USA,Tennessee,null,null,null
Sean Kilpatrick,28,193.04,95.4,USA,Cincinnati,null,null,null
Semi Ojeleye,23,200.66,105.75,USA,Southern Methodist,2017,2017,2017
Shabazz Muhammad,25,198.12,99.45,USA,UCLA,2013,2013,2013
Shabazz Napier,26,185.42,78.75,USA,Connecticut,2014,2014,2014
Shane Larkin,25,180.34,78.75,USA,Miami (FL),2013,2013,2013
Shaquille Harrison,24,193.04,85.5,USA,Tulsa,null,null,null
Shaun Livingston,32,200.66,86.4,USA,None,2004,2004,2004
Shelvin Mack,28,190.5,91.35,USA,Butler,2011,2011,2011
Sindarius Thornwell,23,195.58,96.75,USA,South Carolina,2017,2017,2017
Skal Labissiere,22,210.82,101.25,Haiti,Kentucky,2016,2016,2016
Solomon Hill,27,200.66,101.25,USA,Arizona,2013,2013,2013
Spencer Dinwiddie,25,198.12,90,USA,Colorado,2014,2014,2014
Stanley Johnson,22,200.66,110.25,USA,Arizona,2015,2015,2015
Stephen Curry,30,190.5,85.5,USA,Davidson,2009,2009,2009
Sterling Brown,23,198.12,103.5,USA,Southern Methodist,2017,2017,2017
Steven Adams,24,213.36,114.75,New Zealand,Pittsburgh,2013,2013,2013
T.J. Leaf,21,208.28,103.5,USA,California-Los Angeles,2017,2017,2017
T.J. McConnell,26,187.96,85.5,USA,Arizona,null,null,null
T.J. Warren,24,203.2,96.75,USA,North Carolina State,2014,2014,2014
Taj Gibson,33,205.74,105.75,USA,Southern California,2009,2009,2009
Tarik Black,26,205.74,112.5,USA,Kansas,null,null,null
Taurean Waller-Prince,24,203.2,99,USA,Baylor,2016,2016,2016
Terrance Ferguson,20,200.66,82.8,USA,None,2017,2017,2017
Terrence Ross,27,200.66,92.7,USA,Washington,2012,2012,2012
Terry Rozier,24,187.96,85.5,USA,Louisville,2015,2015,2015
Thabo Sefolosha,34,200.66,99,Switzerland,None,2006,2006,2006
Thaddeus Young,30,203.2,103.5,USA,Georgia Tech,2007,2007,2007
Thomas Bryant,20,208.28,111.6,USA,Indiana,2017,2017,2017
Thon Maker,21,215.9,100.35,South Sudan,None,2016,2016,2016
Tim Frazier,27,185.42,76.5,USA,None,null,null,null
Tim Hardaway,26,198.12,92.25,USA,Michigan,2013,2013,2013
Tim Quarterman,23,198.12,85.5,USA,Louisiana State,null,null,null
Timofey Mozgov,31,215.9,123.75,Russia,None,null,null,null
Timothe Luwawu-Cabarrot,23,198.12,90,France,None,2016,2016,2016
Tobias Harris,25,205.74,105.75,USA,Tennessee,2011,2011,2011
Tomas Satoransky,26,200.66,94.5,Czech Republic,None,2012,2012,2012
Tony Allen,36,193.04,95.85,USA,Oklahoma State,2004,2004,2004
Tony Bradley,20,208.28,111.6,USA,North Carolina,2017,2017,2017
Tony Parker,36,187.96,83.25,France,None,2001,2001,2001
Tony Snell,26,200.66,99.45,USA,New Mexico,2013,2013,2013
Torrey Craig,27,198.12,96.75,USA,South Carolina Upstate,null,null,null
Travis Wear,27,208.28,101.25,USA,UCLA,null,null,null
Treveon Graham,24,195.58,98.55,USA,Virginia Commonwealth,null,null,null
Trevor Ariza,33,203.2,96.75,USA,UCLA,2004,2004,2004
Trevor Booker,30,203.2,102.6,USA,Clemson,2010,2010,2010
Trey Burke,25,185.42,85.95,USA,Michigan,2013,2013,2013
Trey Lyles,22,208.28,105.3,USA,Kentucky,2015,2015,2015
Trey McKinney-Jones,27,195.58,99,USA,Miami (FL),null,null,null
Tristan Thompson,27,205.74,107.1,Canada,Texas,2011,2011,2011
Troy Daniels,26,193.04,92.25,USA,Virginia Commonwealth,null,null,null
Troy Williams,23,200.66,98.1,USA,Indiana,null,null,null
Tyler Cavanaugh,24,205.74,107.1,USA,George Washington,null,null,null
Tyler Dorsey,22,195.58,82.35,USA,Oregon,2017,2017,2017
Tyler Ennis,23,190.5,87.3,Canada,Syracuse,2014,2014,2014
Tyler Johnson,26,193.04,85.5,USA,Fresno State,null,null,null
Tyler Lydon,22,205.74,99,USA,Syracuse,2017,2017,2017
Tyler Ulis,22,177.8,72,USA,Kentucky,2016,2016,2016
Tyler Zeller,28,213.36,112.5,USA,North Carolina,2012,2012,2012
Tyreke Evans,28,198.12,99,USA,Memphis,2009,2009,2009
Tyrone Wallace,24,195.58,89.1,USA,California,2016,2016,2016
Tyson Chandler,35,215.9,108,USA,None,2001,2001,2001
Tyus Jones,22,187.96,82.8,USA,Duke,2015,2015,2015
Udonis Haslem,38,203.2,105.75,USA,Florida,null,null,null
Vander Blue,25,195.58,90,USA,Marquette,null,null,null
Victor Oladipo,26,193.04,94.5,USA,Indiana,2013,2013,2013
Vince Carter,41,198.12,99,USA,North Carolina,1998,1998,1998
Vince Hunter,23,203.2,93.6,USA,Texas-El Paso,null,null,null
Wade Baldwin,22,193.04,90.9,USA,Vanderbilt,2016,2016,2016
Walt Lemon Jr.,25,190.5,81,USA,None,null,null,null
Wayne Ellington,30,195.58,90,USA,North Carolina,2009,2009,2009
Wayne Selden,23,195.58,103.5,USA,Kansas,null,null,null
Wesley Iwundu,23,200.66,87.75,USA,Kansas State,2017,2017,2017
Wesley Johnson,30,200.66,96.75,USA,Syracuse,2010,2010,2010
Wesley Matthews,31,195.58,99,USA,Marquette,null,null,null
Will Barton,27,198.12,85.5,USA,Memphis,2012,2012,2012
Willie Cauley-Stein,24,213.36,108,USA,Kentucky,2015,2015,2015
Willie Reed,28,210.82,110.25,USA,Saint Louis,null,null,null
Willy Hernangomez,24,210.82,108,Spain,None,2015,2015,2015
Wilson Chandler,31,205.74,101.25,USA,DePaul,2007,2007,2007
Xavier Munford,26,193.04,77.85,USA,Rhode Island,null,null,null
Xavier Rathan-Mayes,24,193.04,93.6,Canada,Florida State,null,null,null
Xavier Silas,30,195.58,92.25,USA,Northern Illinois,2011,null,null
Yogi Ferrell,25,182.88,81,USA,Indiana,null,null,null
Zach Collins,20,213.36,103.5,USA,Gonzaga,2017,2017,2017
Zach LaVine,23,195.58,83.25,USA,UCLA,2014,2014,2014
Zach Randolph,36,205.74,112.5,USA,Michigan State,2001,2001,2001
Zaza Pachulia,34,210.82,121.5,Georgia,None,2003,2003,2003
Zhou Qi,22,215.9,94.5,China,None,2016,2016,2016
