index,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
2155,Sudan,SDN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,15.197
2156,Suriname,SUR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,46.412
2157,Swaziland,SWZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,8.344
2158,Sweden,SWE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,79.51899999999999
2159,Switzerland,CHE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,56.114
2160,Syrian Arab Republic,SYR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,42.001000000000005
2161,Tajikistan,TJK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,36.368
2162,Tanzania,TZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,6.803999999999999
2163,Thailand,THA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,20.556
2164,Timor-Leste,TMP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,12.253
2165,Togo,TGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,18.7
2166,Tonga,TON,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,20.127
2167,Trinidad and Tobago,TTO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,12.761
2168,Tunisia,TUN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,41.848
2169,Turkey,TUR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,36.577
2170,Turkmenistan,TKM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,47.575
2171,Turks and Caicos Islands,TCA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,50.42
2172,Tuvalu,TUV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,20.719
2173,Uganda,UGA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,6.283
2174,Ukraine,UKR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,53.197
2175,United Arab Emirates,ARE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,79.8
2176,United Kingdom,GBR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,77.4
2177,United States,USA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,72.97399999999999
2178,Uruguay,URY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,81.958
2179,Uzbekistan,UZB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,36.087
2180,Vanuatu,VUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,11.918
2181,Venezuela, RB,VEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,69.973
2182,Vietnam,VNM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,17.529
2183,Virgin Islands (U.S.),VIR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,67.14
2184,Yemen, Rep.,YEM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,12.347
2185,Zambia,ZMB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,27.791
2186,Zimbabwe,ZWE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1968,16.305999999999997
2187,Arab World,ARB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,38.0625830775041
2188,Caribbean small states,CSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,33.986281122803604
2189,Central Europe and the Baltics,CEB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,50.21565769332189
2190,East Asia & Pacific (all income levels),EAS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,24.7678120691616
2191,East Asia & Pacific (developing only),EAP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,18.7455731422697
2192,Euro area,EMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,66.7431732363795
2193,Europe & Central Asia (all income levels),ECS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,60.28412320486011
2194,Europe & Central Asia (developing only),ECA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,44.37572092906299
2195,European Union,EUU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,65.3114414922512
2196,Fragile and conflict affected situations,FCS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,22.8851454476618
2197,Heavily indebted poor countries (HIPC),HPC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,15.8135077915901
2198,High income,HIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,67.81681409248489
2199,High income: nonOECD,NOC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,63.84708664453301
2200,High income: OECD,OEC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,68.8001770824236
2201,Latin America & Caribbean (all income levels),LCN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,56.2857807579723
2202,Latin America & Caribbean (developing only),LAC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,52.40629312043139
2203,Least developed countries: UN classification,LDC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,12.4253751914369
2204,Low & middle income,LMY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,24.3107501398193
2205,Low income,LIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,14.724341950985
2206,Lower middle income,LMC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,22.2264951452792
2207,Middle East & North Africa (all income levels),MEA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,41.8775432531163
2208,Middle East & North Africa (developing only),MNA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,40.2502757154425
2209,Middle income,MIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,25.0822180295721
2210,North America,NAC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,73.5112239016084
2211,OECD members,OED,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,66.9841215201365
2212,Other small states,OSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,19.6964722516343
2213,Pacific island small states,PSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,25.737658231466305
2214,Small states,SST,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,25.1417779208351
2215,South Asia,SAS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,18.4414894883101
2216,Sub-Saharan Africa (all income levels),SSF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,17.671025537660302
2217,Sub-Saharan Africa (developing only),SSA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,17.6578615697473
2218,Upper middle income,UMC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,27.7293025840846
2219,World,WLD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,36.338681039337295
2220,Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,11.152
2221,Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,31.548
2222,Algeria,DZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,39.334
2223,American Samoa,ASM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,69.98
2224,Andorra,ADO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,78.42399999999999
2225,Angola,AGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,14.436
2226,Antigua and Barbuda,ATG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,34.245
2227,Argentina,ARG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,78.39399999999999
2228,Armenia,ARM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,59.042
2229,Aruba,ABW,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,50.639
2230,Australia,AUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,84.92200000000001
2231,Austria,AUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,65.208
2232,Azerbaijan,AZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,49.963
2233,Bahamas, The,BHS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,66.093
2234,Bahrain,BHR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,83.52600000000001
2235,Bangladesh,BGD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,7.296
2236,Barbados,BRB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,37.433
2237,Belarus,BLR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,42.76
2238,Belgium,BEL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,93.707
2239,Belize,BLZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,51.238
2240,Benin,BEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,15.776
2241,Bermuda,BMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,100.0
2242,Bhutan,BTN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,5.781000000000001
2243,Bolivia,BOL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,39.47
2244,Bosnia and Herzegovina,BIH,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,26.283
2245,Botswana,BWA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,6.81
2246,Brazil,BRA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,54.94
2247,Brunei Darussalam,BRN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,59.908
2248,Bulgaria,BGR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,51.034
2249,Burkina Faso,BFA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,5.632000000000001
2250,Burundi,BDI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,2.7260000000000004
2251,Cabo Verde,CPV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,19.255
2252,Cambodia,KHM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,14.579
2253,Cameroon,CMR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,19.577
2254,Canada,CAN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,75.161
2255,Cayman Islands,CYM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,100.0
2256,Central African Republic,CAF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,26.645
2257,Chad,TCD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,10.862
2258,Channel Islands,CHI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,36.346
2259,Chile,CHL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,74.547
2260,China,CHN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,17.528
2261,Colombia,COL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,54.063
2262,Comoros,COM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,19.035
2263,Congo, Dem. Rep.,ZAR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,24.37
2264,Congo, Rep.,COG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,38.345
2265,Costa Rica,CRI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,38.212
2266,Cote d'Ivoire,CIV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,27.404
2267,Croatia,HRV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,39.13
2268,Cuba,CUB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,60.081
2269,Curacao,CUW,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,78.093
2270,Cyprus,CYP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,40.242
2271,Czech Republic,CZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,63.93
2272,Denmark,DNK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,79.222
2273,Djibouti,DJI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,60.664
2274,Dominica,DMA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,38.448
2275,Dominican Republic,DOM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,39.147
2276,Ecuador,ECU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,38.744
2277,Egypt, Arab Rep.,EGY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,41.117
2278,El Salvador,SLV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,39.303
2279,Equatorial Guinea,GNQ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,26.863000000000003
2280,Eritrea,ERI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,12.427
2281,Estonia,EST,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,64.307
2282,Ethiopia,ETH,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,8.422
2283,Faeroe Islands,FRO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,27.524
2284,Fiji,FJI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,34.371
2285,Finland,FIN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,62.908
2286,France,FRA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,70.648
2287,French Polynesia,PYF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,53.773
2288,Gabon,GAB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,30.237
2289,Gambia, The,GMB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,18.41
2290,Georgia,GEO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,47.522
2291,Germany,DEU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,72.211
2292,Ghana,GHA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,28.473000000000003
2293,Greece,GRC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,63.385
2294,Greenland,GRL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,71.48100000000001
2295,Grenada,GRD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,32.04
2296,Guam,GUM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,59.784
2297,Guatemala,GTM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,35.232
2298,Guinea,GIN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,15.336
2299,Guinea-Bissau,GNB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,14.972
2300,Guyana,GUY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,29.369
2301,Haiti,HTI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,19.31
2302,Honduras,HND,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,28.244
2303,Hong Kong SAR, China,HKG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,87.476
2304,Hungary,HUN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,59.691
2305,Iceland,ISL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,84.48299999999999
2306,India,IND,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,19.562
2307,Indonesia,IDN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,16.809
2308,Iran, Islamic Rep.,IRN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,40.321
2309,Iraq,IRQ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,55.089
2310,Ireland,IRL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,51.123000000000005
2311,Isle of Man,IMY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,55.99100000000001
2312,Israel,ISR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,83.58200000000001
2313,Italy,ITA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,63.792
2314,Jamaica,JAM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,40.596
2315,Japan,JPN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,71.102
2316,Jordan,JOR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,55.633
2317,Kazakhstan,KAZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,49.647
2318,Kenya,KEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,9.85
2319,Kiribati,KIR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,22.871
2320,Korea, Dem. Rep.,PRK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,51.609
2321,Korea, Rep.,KOR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,38.756
2322,Kuwait,KWT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,84.58200000000001
2323,Kyrgyz Republic,KGZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,37.214
2324,Lao PDR,LAO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,9.304
2325,Latvia,LVA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,59.946000000000005
2326,Lebanon,LBN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,57.79600000000001
2327,Lesotho,LSO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,8.196
2328,Liberia,LBR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,25.207
2329,Libya,LBY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,46.352
2330,Liechtenstein,LIE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,18.654
2331,Lithuania,LTU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,48.53
2332,Luxembourg,LUX,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,73.902
2333,Macao SAR, China,MAC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,96.877
2334,Macedonia, FYR,MKD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,45.718
2335,Madagascar,MDG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,13.751
2336,Malawi,MWI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,5.773
2337,Malaysia,MYS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,32.729
2338,Maldives,MDV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,11.698
2339,Mali,MLI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,13.970999999999998
2340,Malta,MLT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,89.69
2341,Marshall Islands,MHL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,50.861
2342,Mauritania,MRT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,13.554
2343,Mauritius,MUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,41.008
2344,Mexico,MEX,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,58.229
2345,Micronesia, Fed. Sts.,FSM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,24.551
2346,Moldova,MDA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,31.189
2347,Monaco,MCO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,100.0
2348,Mongolia,MNG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,44.336000000000006
2349,Montenegro,MNE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,25.955
2350,Morocco,MAR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,33.946
2351,Mozambique,MOZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,6.72
2352,Myanmar,MMR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,22.449
2353,Namibia,NAM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,21.852
2354,Nepal,NPL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,3.911
2355,Netherlands,NLD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,61.481
2356,New Caledonia,NCL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,50.442
2357,New Zealand,NZL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,80.695
2358,Nicaragua,NIC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,46.16
2359,Niger,NER,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,8.339
2360,Nigeria,NGA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,17.512999999999998
2361,Northern Mariana Islands,MNP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,67.384
2362,Norway,NOR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,63.881
2363,Oman,OMN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,28.093000000000004
2364,Pakistan,PAK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,24.552
2365,Palau,PLW,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,59.429
2366,Panama,PAN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,47.038
2367,Papua New Guinea,PNG,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,8.649
2368,Paraguay,PRY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,36.9
2369,Peru,PER,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,56.309
2370,Philippines,PHL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,32.672
2371,Poland,POL,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,51.726000000000006
2372,Portugal,PRT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,38.414
2373,Puerto Rico,PRI,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,57.077
2374,Qatar,QAT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,88.103
2375,Romania,ROM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,39.822
2376,Russian Federation,RUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,61.638000000000005
2377,Rwanda,RWA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,3.129
2378,Samoa,WSM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,20.097
2379,San Marino,SMR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,58.735
2380,Sao Tome and Principe,STP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,27.861
2381,Saudi Arabia,SAU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,46.655
2382,Senegal,SEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,29.247
2383,Seychelles,SYC,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,37.846
2384,Sierra Leone,SLE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,23.218000000000004
2385,Singapore,SGP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,100.0
2386,Sint Maarten (Dutch part),SXM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,100.0
2387,Slovak Republic,SVK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,40.243
2388,Slovenia,SVN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,36.081
2389,Solomon Islands,SLB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,8.67
2390,Somalia,SOM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,22.115
2391,South Africa,ZAF,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,47.70399999999999
2392,South Sudan,SSD,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,8.645
2393,Spain,ESP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,65.108
2394,Sri Lanka,LKA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,19.125
2395,St. Kitts and Nevis,KNA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,33.567
2396,St. Lucia,LCA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,23.654
2397,St. Vincent and the Grenadines,VCT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,30.187
2398,Sudan,SDN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,15.848
2399,Suriname,SUR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,46.18
2400,Swaziland,SWZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,9.001
2401,Sweden,SWE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,80.28699999999999
2402,Switzerland,CHE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,56.742
2403,Syrian Arab Republic,SYR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,42.67100000000001
2404,Tajikistan,TJK,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,36.777
2405,Tanzania,TZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,7.311
2406,Thailand,THA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,20.668000000000003
2407,Timor-Leste,TMP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,12.566
2408,Togo,TGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,20.098
2409,Tonga,TON,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,20.157
2410,Trinidad and Tobago,TTO,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,12.268
2411,Tunisia,TUN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,42.662
2412,Turkey,TUR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,37.401
2413,Turkmenistan,TKM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,47.721
2414,Turks and Caicos Islands,TCA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,50.763000000000005
2415,Tuvalu,TUV,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,21.392
2416,Uganda,UGA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,6.562
2417,Ukraine,UKR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,54.042
2418,United Arab Emirates,ARE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,79.8
2419,United Kingdom,GBR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,77.259
2420,United States,USA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,73.333
2421,Uruguay,URY,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,82.164
2422,Uzbekistan,UZB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,36.354
2423,Vanuatu,VUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,12.12
2424,Venezuela, RB,VEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,70.92
2425,Vietnam,VNM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,17.910999999999998
2426,Virgin Islands (U.S.),VIR,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,68.378
2427,Yemen, Rep.,YEM,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,12.815
2428,Zambia,ZMB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,29.37
2429,Zimbabwe,ZWE,Urban population (% of total),SP.URB.TOTL.IN.ZS,1969,16.88
2430,Arab World,ARB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,38.7771917518396
2431,Caribbean small states,CSS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,34.2635475085626
2432,Central Europe and the Baltics,CEB,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,50.780409860457
2433,East Asia & Pacific (all income levels),EAS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,24.840816805208203
2434,East Asia & Pacific (developing only),EAP,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,18.7748809027262
2435,Euro area,EMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,67.1473108283008
2436,Europe & Central Asia (all income levels),ECS,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,60.776023681518296
2437,Europe & Central Asia (developing only),ECA,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,45.0650596037354
2438,European Union,EUU,Urban population (% of total),SP.URB.TOTL.IN.ZS,1970,65.6768935347261
