Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,18:10 25 Mar,1 stop,In-flight meal not included,10031.0,21.0h
Jet Airways,3/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,2 stops,In-flight meal not included,10368.0,13.5h
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,nan,No info,3943.0,2.833333333333333h
IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,11:30,1 stop,nan,14871.0,6.75h
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,08:45,10:15,non-stop,In-flight meal not included,4995.0,1.5h
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,1 stop,In-flight meal not included,10791.0,8.666666666666666h
SpiceJet,3/06/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,non-stop,No info,2753.0,1.5h
IndiGo,9/04/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,non-stop,No info,4423.0,2.833333333333333h
Air Asia,27/05/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,non-stop,No info,4409.0,2.583333333333333h
Air India,9/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 10 May,1 stop,No info,6117.0,16.083333333333332h
Jet Airways,21/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 22 May,2 stops,No info,15129.0,23.83333333333333h
Vistara,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,23:25 07 Jun,1 stop,No info,9345.0,27.08333333333333h
Vistara,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,23:25,1 stop,No info,8085.0,16.25h
Jet Airways,6/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 07 May,1 stop,No info,15554.0,15.416666666666666h
SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,non-stop,No check-in baggage included,3573.0,2.833333333333333h
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,17:00,01:35 04 Mar,1 stop,No info,17073.0,8.583333333333334h
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,01:30 10 Jun,1 stop,No info,6795.0,13.833333333333334h
Vistara,nan,Banglore,New Delhi,BLR → DEL,07:00,09:40,non-stop,No info,5403.0,2.6666666666666665h
IndiGo,15/05/2019,Chennai,Kolkata,MAA → CCU,nan,07:40,non-stop,No info,3540.0,2.4166666666666665h
Vistara,24/04/2019,Delhi,Cochin,DEL → COK,14:40,17:50,non-stop,No info,6216.0,3.1666666666666665h
nan,21/05/2019,Banglore,Delhi,BLR → DEL,15:50,18:45,non-stop,nan,3359.0,2.9166666666666665h
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,23:35 25 May,1 stop,In-flight meal not included,10844.0,28.666666666666668h
Air India,15/06/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,non-stop,No info,6961.0,2.833333333333333h
Air Asia,3/04/2019,Kolkata,Banglore,CCU → BLR,nan,12:55,non-stop,nan,nan,2.583333333333333h
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:10,18:50,1 stop,No info,13069.0,9.666666666666666h
Jet Airways,24/06/2019,Delhi,Cochin,nan,11:45,04:25 25 Jun,2 stops,No info,13357.0,16.666666666666668h
IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,1 stop,No info,6938.0,6.333333333333333h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 28 Jun,2 stops,No info,13292.0,nanh
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,nan,2 stops,1 Short layover,26743.0,14.583333333333334h
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,06:40,18:50,1 stop,No info,13568.0,12.166666666666666h
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,1 stop,No info,15353.0,7.583333333333333h
IndiGo,15/05/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,non-stop,No info,3597.0,2.333333333333333h
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,16:20 25 Mar,1 stop,In-flight meal not included,10031.0,19.166666666666668h
Air India,9/05/2019,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25,05:25 10 May,2 stops,No info,14687.0,20.0h
Jet Airways,6/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,non-stop,In-flight meal not included,7229.0,3.0h
GoAir,9/05/2019,Delhi,Cochin,nan,14:25,19:35,1 stop,No info,10188.0,5.166666666666667h
Vistara,09/03/2019,Banglore,nan,BLR → DEL,07:00,09:40,non-stop,No info,nan,2.6666666666666665h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,19:00 19 May,2 stops,No info,nan,29.58333333333333h
IndiGo,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:55,21:50,1 stop,No Info,8153.0,4.916666666666667h
Jet Airways,9/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,non-stop,No info,7229.0,3.0h
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 28 May,1 stop,In-flight meal not included,6943.0,12.5h
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:15,1 stop,No info,8937.0,nanh
Air India,3/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25 04 Mar,2 stops,No info,9400.0,26.33333333333333h
Vistara,24/03/2019,Kolkata,nan,CCU → DEL → BLR,07:10,20:25,1 stop,nan,13152.0,13.25h
IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 02 Jun,non-stop,No info,nan,2.833333333333333h
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 Jun,1 stop,No info,7927.0,12.75h
Air India,15/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,22:10,2 stops,No info,9796.0,16.333333333333332h
Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,11:30,14:10,non-stop,No info,8028.0,2.6666666666666665h
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:05,21:20,2 stops,No info,10759.0,8.25h
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:00,1 stop,No info,10197.0,12.0h
Air India,1/06/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,non-stop,No info,5228.0,2.833333333333333h
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,1 stop,In-flight meal not included,9275.0,11.0h
IndiGo,3/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 04 Mar,non-stop,No info,5277.0,2.333333333333333h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 19 May,2 stops,In-flight meal not included,13848.0,13.833333333333334h
IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,1 stop,No info,nan,8.166666666666666h
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 19 May,1 stop,No info,13941.0,12.166666666666666h
Vistara,6/05/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,non-stop,No info,4668.0,2.6666666666666665h
nan,18/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,non-stop,No info,3419.0,2.75h
IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 07 Apr,non-stop,No info,3943.0,2.833333333333333h
Air India,24/05/2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 25 May,1 stop,No info,6528.0,24.0h
Jet Airways,nan,Banglore,Delhi,BLR → DEL,17:45,20:45,non-stop,No info,7229.0,3.0h
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:35 22 Mar,1 stop,No info,13542.0,12.583333333333334h
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45 13 Jun,1 stop,In-flight meal not included,8529.0,25.83333333333333h
Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,non-stop,nan,8016.0,2.9166666666666665h
Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 10 May,2 stops,In-flight meal not included,13029.0,17.083333333333332h
Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 11 May,2 stops,No info,15129.0,29.33333333333333h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 10 Jun,2 stops,In-flight meal not included,10368.0,8.916666666666666h
Air India,3/03/2019,nan,Cochin,DEL → COK,18:05,21:10,non-stop,No info,8666.0,3.083333333333333h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,1 stop,No info,15554.0,9.0h
nan,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,16:10,1 stop,No info,26890.0,10.416666666666666h
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 22 May,1 stop,No info,13067.0,16.75h
Jet Airways,1/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,nan,In-flight meal not included,4544.0,2.75h
Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,22:40 22 May,1 stop,No info,8452.0,26.33333333333333h
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,1 stop,In-flight meal not included,7268.0,13.25h
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,1 stop,No info,9627.0,10.5h
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:00,1 stop,No info,9103.0,7.583333333333333h
Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,1 stop,No info,11142.0,11.0h
IndiGo,9/03/2019,Kolkata,Banglore,CCU → BLR,05:30,08:20,non-stop,No info,4148.0,2.833333333333333h
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 19 May,1 stop,In-flight meal not included,10844.0,25.75h
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,1 stop,No info,9646.0,6.416666666666667h
IndiGo,1/03/2019,Mumbai,nan,BOM → HYD,12:00,13:25,non-stop,No info,12475.0,1.4166666666666667h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 19 May,1 stop,No info,15554.0,20.166666666666668h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,1 stop,In-flight meal not included,10262.0,11.916666666666666h
Air India,12/06/2019,Banglore,Delhi,BLR → DEL,nan,16:10,non-stop,nan,6961.0,2.833333333333333h
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,1 stop,In-flight meal not included,10262.0,5.0h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,19:00 28 Jun,1 stop,In-flight meal not included,10262.0,27.0h
IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 10 May,non-stop,No info,3943.0,2.833333333333333h
Air India,24/05/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,non-stop,No info,3625.0,1.25h
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,1 stop,No info,13378.0,10.25h
Jet Airways,15/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,11:45,12:35 16 Jun,2 stops,No info,13882.0,24.83333333333333h
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,05:30,nan,non-stop,No info,3943.0,2.833333333333333h
Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25,05:25 16 May,2 stops,No info,14687.0,20.0h
Air Asia,27/05/2019,Delhi,Cochin,DEL → BLR → COK,07:55,13:25,1 stop,No info,6451.0,5.5h
Vistara,9/06/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,non-stop,No info,4878.0,2.75h
nan,9/05/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 10 May,1 stop,No info,8542.0,6.916666666666667h
IndiGo,24/05/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,non-stop,No info,4804.0,2.75h
IndiGo,6/06/2019,Kolkata,Banglore,nan,21:00,02:15 07 Jun,1 stop,No info,6711.0,5.25h
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,1 stop,No info,16108.0,6.25h
IndiGo,6/06/2019,Banglore,Delhi,BLR → DEL,00:25,03:15,non-stop,No info,nan,2.833333333333333h
Air India,24/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 25 May,2 stops,No info,15422.0,19.416666666666668h
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 28 Mar,non-stop,No info,5694.0,2.9166666666666665h
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,1 stop,No info,nan,11.416666666666666h
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 02 May,1 stop,In-flight meal not included,8586.0,14.083333333333334h
IndiGo,nan,Banglore,New Delhi,BLR → DEL,00:40,03:25,non-stop,nan,6144.0,2.75h
IndiGo,27/04/2019,Delhi,Cochin,DEL → COK,05:35,08:50,non-stop,No info,6015.0,3.25h
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,19:15,1 stop,No info,7155.0,14.333333333333334h
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,1 stop,No info,12692.0,12.5h
Air India,18/05/2019,Delhi,Cochin,DEL → BLR → COK,17:40,23:00,1 stop,No info,8277.0,5.333333333333333h
Air India,9/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25 10 May,2 stops,No info,9347.0,26.33333333333333h
Air India,15/03/2019,Delhi,Cochin,DEL → COK,18:05,21:10,non-stop,No info,4939.0,3.083333333333333h
Jet Airways,12/03/2019,Mumbai,Hyderabad,BOM → HYD,19:40,21:10,non-stop,No info,5678.0,1.5h
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,1 stop,In-flight meal not included,10844.0,7.083333333333333h
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,15:55,1 stop,In-flight meal not included,7280.0,6.166666666666667h
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,1 stop,No info,7618.0,8.0h
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,08:55,21:00,1 stop,No info,15147.0,nanh
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 19 May,1 stop,No info,13941.0,12.916666666666666h
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,1 stop,No info,11467.0,9.583333333333334h
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,01:30 28 Jun,1 stop,No info,6270.0,15.166666666666666h
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,13:55,01:35 04 Mar,1 stop,No info,17057.0,11.666666666666666h
Jet Airways,3/06/2019,nan,Delhi,BLR → DEL,15:15,18:10,non-stop,No info,8016.0,2.9166666666666665h
SpiceJet,27/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,1 stop,No check-in baggage included,4760.0,4.5h
SpiceJet,21/03/2019,Kolkata,Banglore,CCU → BLR,06:55,09:35,non-stop,No check-in baggage included,3815.0,2.6666666666666665h
SpiceJet,1/05/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,non-stop,No info,4174.0,2.5h
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 07 Jun,1 stop,nan,12692.0,24.166666666666668h
Air India,15/05/2019,Kolkata,nan,CCU → BOM → COK → BLR,09:25,13:45 16 May,2 stops,No info,15532.0,28.33333333333333h
Jet Airways,6/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,non-stop,In-flight meal not included,4995.0,1.4166666666666667h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,nan,1 stop,In-flight meal not included,12898.0,10.166666666666666h
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,1 stop,No info,9794.0,11.5h
Air India,15/05/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,non-stop,No info,5228.0,2.833333333333333h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 28 Jun,1 stop,In-flight meal not included,10262.0,13.75h
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,1 stop,No info,9646.0,6.416666666666667h
nan,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 16 May,1 stop,No info,15149.0,12.916666666666666h
IndiGo,9/06/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,1 stop,No info,4205.0,4.416666666666667h
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,1 stop,No info,15147.0,13.5h
Jet Airways,06/03/2019,Banglore,New Delhi,nan,08:55,09:00 07 Mar,1 stop,In-flight meal not included,13712.0,24.08333333333333h
Air India,9/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 10 Mar,1 stop,No info,nan,16.083333333333332h
Air Asia,15/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,2 stops,No info,5192.0,8.333333333333334h
Air Asia,15/05/2019,Kolkata,Banglore,CCU → BBI → BLR,06:50,10:30,1 stop,No info,5162.0,3.6666666666666665h
IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,16:10,1 stop,No info,9027.0,9.5h
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,18:10 25 Mar,1 stop,In-flight meal not included,11134.0,28.25h
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20 25 May,nan,In-flight meal not included,10844.0,13.333333333333334h
Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:50 25 Mar,1 stop,No info,12890.0,17.833333333333332h
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16:20 10 Jun,1 stop,No info,14571.0,20.33333333333333h
Jet Airways,12/05/2019,Kolkata,nan,CCU → DEL → BLR,nan,21:05 13 May,1 stop,nan,12121.0,28.08333333333333h
nan,9/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 10 May,1 stop,In-flight meal not included,nan,15.416666666666666h
Air India,09/03/2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,23:55,1 stop,No info,10972.0,12.083333333333334h
Jet Airways,nan,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,1 stop,In-flight meal not included,10262.0,10.333333333333334h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,nan,04:25 28 May,1 stop,In-flight meal not included,12898.0,12.416666666666666h
IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,1 stop,No info,6442.0,7.583333333333333h
Vistara,3/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,non-stop,No info,5403.0,2.833333333333333h
IndiGo,21/04/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,1 stop,No info,5703.0,4.583333333333333h
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,1 stop,In-flight meal not included,9871.0,11.25h
IndiGo,15/04/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,non-stop,No info,4174.0,2.583333333333333h
Air India,21/05/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 22 May,2 stops,No info,11972.0,26.0h
SpiceJet,18/04/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,non-stop,No info,4174.0,2.4166666666666665h
IndiGo,21/05/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,non-stop,No info,4804.0,nanh
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,20:45,1 stop,No info,12681.0,14.25h
Air Asia,6/06/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,non-stop,No info,4508.0,2.583333333333333h
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 04 Jun,1 stop,In-flight meal not included,10262.0,22.08333333333333h
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:35 04 Mar,nan,No info,nan,6.583333333333333h
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,17:00,01:30 13 Jun,1 stop,No info,7198.0,8.5h
Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 16 Jun,2 stops,No info,13014.0,18.75h
Air India,12/05/2019,Kolkata,Banglore,CCU → BBI → IXR → DEL → BLR,12:00,23:15 13 May,3 stops,No info,10991.0,35.25h
Vistara,21/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,non-stop,nan,3687.0,2.25h
Air Asia,12/05/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,non-stop,No info,5530.0,2.5h
SpiceJet,27/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 28 Mar,non-stop,No check-in baggage included,3815.0,2.333333333333333h
Air India,1/03/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,non-stop,No info,6535.0,2.5h
Jet Airways,3/03/2019,Delhi,Cochin,nan,20:50,04:25 04 Mar,1 stop,No info,17234.0,7.583333333333333h
nan,6/03/2019,Delhi,nan,DEL → DED → BOM → COK,16:50,04:25 08 Mar,2 stops,No info,19907.0,35.583333333333336h
Air India,27/03/2019,Delhi,Cochin,DEL → BLR → COK,20:30,23:00 28 Mar,1 stop,No info,5022.0,26.5h
Multiple carriers,27/03/2019,nan,Cochin,DEL → BOM → COK,04:00,15:30,1 stop,No info,6305.0,11.5h
Jet Airways,21/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,16:10,18:50 22 Mar,2 stops,In-flight meal not included,8728.0,26.666666666666668h
IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 02 Jun,non-stop,No info,3943.0,3.0h
IndiGo,18/03/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,non-stop,No info,3175.0,1.5h
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,11:10,14:05,non-stop,No info,7229.0,2.9166666666666665h
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,21:20,2 stops,No info,8620.0,14.25h
Air India,09/03/2019,Banglore,New Delhi,BLR → CCU → DEL,05:50,22:45,1 stop,No info,10657.0,16.916666666666668h
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,20:20,1 stop,In-flight meal not included,7832.0,12.333333333333334h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,19:00 28 Jun,2 stops,In-flight meal not included,11150.0,29.58333333333333h
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,19:10 02 Mar,1 stop,No info,nan,20.33333333333333h
Jet Airways,9/05/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 10 May,2 stops,No info,16263.0,8.416666666666666h
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,01:30 25 Jun,1 stop,In-flight meal not included,5797.0,13.833333333333334h
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,04:25 07 Jun,2 stops,No info,14237.0,10.0h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,04:25 10 Jun,1 stop,nan,10262.0,19.416666666666668h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,19:00 10 Jun,1 stop,In-flight meal not included,10262.0,28.0h
IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,non-stop,No info,3943.0,2.833333333333333h
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:15,12:35 22 May,1 stop,In-flight meal not included,12898.0,17.333333333333332h
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,non-stop,No info,3419.0,2.75h
IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 16 Mar,non-stop,No info,8033.0,2.9166666666666665h
Jet Airways,nan,Banglore,New Delhi,BLR → BOM → DEL,05:45,19:10,1 stop,No info,27992.0,13.416666666666666h
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 13 May,1 stop,No info,13941.0,12.916666666666666h
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 22 May,1 stop,No info,14388.0,9.75h
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 13 May,1 stop,In-flight meal not included,10844.0,21.416666666666668h
IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,22:20,1 stop,No info,11600.0,15.666666666666666h
IndiGo,6/06/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 07 Jun,non-stop,No info,5277.0,2.333333333333333h
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,04:25 04 Jun,1 stop,In-flight meal not included,10262.0,14.416666666666666h
IndiGo,nan,Banglore,New Delhi,BLR → DEL,04:00,06:50,non-stop,No info,6144.0,2.833333333333333h
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,04:25 04 Jun,1 stop,In-flight meal not included,12898.0,6.583333333333333h
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 13 May,1 stop,No info,13941.0,22.166666666666668h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,04:25 19 May,1 stop,In-flight meal not included,12373.0,14.416666666666666h
SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,non-stop,No check-in baggage included,3841.0,2.5h
Air India,18/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55 19 May,2 stops,No info,10697.0,nanh
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,00:45 02 Mar,1 stop,No info,26890.0,13.083333333333334h
SpiceJet,1/06/2019,Mumbai,Hyderabad,BOM → HYD,nan,14:45,non-stop,nan,2175.0,1.5h
IndiGo,27/05/2019,Delhi,Cochin,DEL → PNQ → COK,23:30,04:35 28 May,1 stop,No info,9476.0,5.083333333333333h
nan,24/05/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,non-stop,No info,3100.0,1.3333333333333333h
Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 16 Jun,2 stops,In-flight meal not included,10368.0,22.916666666666668h
SpiceJet,18/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 19 May,non-stop,No info,2017.0,1.5h
SpiceJet,15/04/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,non-stop,No check-in baggage included,3841.0,2.583333333333333h
