Toy_Type,Durability_Score
Recreational,86.0
Educational,80.9
Educational,88.1
Recreational,90.7
Educational,81.2
Educational,80.5
Recreational,73.2
Recreational,87.6
Educational,82.0
Recreational,74.6
Recreational,71.5
Educational,87.6
Recreational,79.8
Recreational,83.0
Educational,86.4
Recreational,73.5
Educational,81.8
Recreational,78.8
Educational,75.7
Educational,70.4
Educational,82.4
Recreational,80.3
Recreational,87.5
Educational,74.7
Educational,83.0
Recreational,74.1
Recreational,91.9
Recreational,84.0
Educational,83.9
Educational,90.8
Educational,77.5
Recreational,77.6
Recreational,77.6
Educational,78.6
Recreational,71.3
Educational,87.4
Recreational,83.3
Educational,72.6
Recreational,82.9
Recreational,86.8
Educational,90.8
Recreational,90.4
Recreational,74.8
Recreational,85.4
Recreational,75.6
Educational,86.4
Recreational,85.7
Recreational,89.5
Recreational,77.2
Educational,77.4
Recreational,71.3
Recreational,89.4
Recreational,73.7
Educational,76.5
Recreational,79.0
Educational,82.9
Educational,86.3
Recreational,72.1
Recreational,78.9
Recreational,63.9
Educational,79.6
Educational,79.7
Educational,81.1
Recreational,72.2
Educational,78.5
Educational,82.5
Recreational,82.9
Educational,77.3
Recreational,69.8
Recreational,77.2
Educational,72.6
Educational,66.5
Educational,74.4
Recreational,70.8
Recreational,77.6
Educational,80.3
Educational,73.6
Educational,74.9
Recreational,80.0
Educational,75.5
Recreational,72.1
Recreational,72.4
Educational,75.8
Recreational,82.3
Educational,78.5
Recreational,84.6
Recreational,84.0
Recreational,81.9
Educational,73.8
Recreational,78.0
Educational,81.0
Educational,91.0
Educational,79.3
Educational,80.2
Recreational,79.6
Educational,77.4
Recreational,69.4
Educational,78.9
Educational,85.6
Recreational,70.4
Educational,79.7
Educational,79.2
Recreational,72.5
Recreational,83.4
Educational,83.3
Recreational,70.4
Educational,87.8
Educational,69.7
Recreational,61.1
Recreational,79.1
Recreational,73.7
Educational,78.9
Educational,81.3
Educational,92.6
Educational,75.9
Educational,73.6
Educational,81.5
Recreational,82.8
Educational,81.4
Recreational,82.3
Educational,85.8
Recreational,77.5
Educational,80.1
Educational,77.2
Recreational,86.7
Educational,86.8
Educational,81.8
Recreational,82.6
Recreational,74.4
Recreational,75.3
Recreational,68.3
Educational,75.6
Educational,77.1
Educational,73.0
Educational,79.8
Educational,79.4
Educational,74.7
Recreational,90.4
Recreational,83.6
Recreational,77.0
Recreational,71.0
Recreational,84.8
Recreational,68.8
Educational,83.0
Recreational,78.8
Educational,77.9
Educational,89.0
Educational,85.3
Recreational,90.9
Educational,81.1
Recreational,78.0
Educational,80.5
Educational,73.8
Educational,77.6
Recreational,72.9
Recreational,72.3
Recreational,81.1
Recreational,75.6
Educational,77.8
Recreational,78.7
Recreational,74.4
Recreational,75.8
Recreational,78.8
Educational,78.8
Recreational,71.0
Educational,85.9
Recreational,78.4
Recreational,70.7
Educational,78.3
Recreational,67.5
Recreational,71.9
Recreational,78.1
Educational,88.2
Recreational,76.9
Recreational,80.1
Educational,74.0
Recreational,72.7
Educational,75.9
Educational,81.4
Educational,80.1
Educational,82.5
Recreational,78.9
Educational,83.8
Recreational,75.0
Educational,84.8
Educational,84.2
Recreational,78.1
Recreational,80.4
Recreational,79.6
Recreational,75.1
Educational,76.0
Recreational,73.7
Recreational,83.5
Educational,85.8
Educational,80.2
Educational,87.5
Recreational,77.0
Recreational,70.6
Educational,78.1
Recreational,77.3
Educational,83.2
Educational,72.0
Recreational,88.2
Recreational,73.7
Recreational,88.0
Recreational,76.7
Recreational,77.4
Educational,81.2
Educational,81.6
Educational,84.1
Educational,83.1
Recreational,85.4
Recreational,74.5
Educational,69.4
Educational,84.4
Educational,75.9
Recreational,87.5
Educational,80.6
Recreational,80.2
Recreational,90.3
Recreational,84.1
Recreational,86.3
Recreational,87.2
Educational,86.0
Educational,72.4
Educational,81.2
Recreational,87.3
Educational,77.4
Educational,83.5
Educational,78.1
Educational,79.9
Recreational,74.0
Recreational,82.9
Recreational,84.1
Educational,85.0
Recreational,85.9
Recreational,83.4
Recreational,88.2
Educational,81.3
Recreational,72.3
Educational,80.4
Educational,74.1
Educational,81.7
Educational,80.4
Educational,79.8
Educational,80.5
Educational,81.8
Educational,85.4
Recreational,76.6
Educational,78.6
Recreational,77.7
Recreational,82.8
Recreational,75.9
Educational,73.0
Educational,76.2
Recreational,81.1
Educational,82.9
