mon,dom,dow,carrier,flight,org,depart,duration,delay,km
8,28,0,UA,1587,ORD,7.4,236,-25,2438
6,12,6,WN,921,SMF,6.5,70,-2,576
11,22,1,US,942,SFO,22,307,-14,4057
1,17,0,WN,965,SJC,19.67,70,71,496
6,2,3,AA,1194,SJC,13.33,250,50,2943
11,30,2,OO,4872,SMF,16.33,95,16,856
8,2,2,UA,1667,ORD,9.2,236,-11,2438
7,21,4,AA,408,ORD,20.75,115,20,1091
3,6,0,US,17,JFK,17.92,350,-21,3465
11,19,5,AA,394,ORD,6.75,125,None,1180
5,25,3,OH,5052,JFK,14.98,103,13,615
6,1,2,UA,302,ORD,19.17,118,0,1164
8,27,6,AA,599,LGA,10.58,190,17,1765
3,21,1,UA,492,ORD,13.17,123,1,1041
10,4,2,UA,1453,ORD,20.17,144,-20,1347
4,31,6,UA,67,ORD,6.17,257,-2,2808
2,1,6,WN,1141,SJC,11.67,75,-7,671
4,2,5,B6,42,JFK,11,75,-7,336
11,19,5,US,29,ORD,10.67,235,128,2317
9,23,4,WN,954,SMF,15.17,80,0,639
1,11,1,WN,120,SJC,11.25,75,-6,550
5,14,6,AA,47,ORD,19.25,135,2,1291
2,4,2,UA,46,OGG,21.25,300,-8,4001
3,14,1,OO,5451,SFO,18.42,81,-2,402
2,9,0,AA,1341,ORD,7.5,275,-9,2971
11,27,6,UA,442,ORD,19.3,87,100,509
0,26,6,AA,547,ORD,10.17,251,80,2659
6,7,1,AA,1199,ORD,8,155,27,1574
11,21,0,OO,5737,SFO,10.98,64,53,246
1,26,2,B6,707,JFK,21,242,None,2570
8,22,1,UA,636,ORD,7.68,84,-6,663
3,1,2,HA,549,OGG,18.33,34,-9,161
1,14,4,UA,470,ORD,20.92,117,15,1091
5,28,6,B6,42,JFK,11,75,18,336
3,22,2,WN,3491,SFO,21.83,85,-13,542
11,28,0,B6,73,JFK,13.82,181,17,1654
8,26,5,AA,502,SJC,17.58,200,24,2375
1,15,5,UA,1019,ORD,21.67,270,-31,2808
1,23,6,OO,5965,ORD,12.73,99,-8,705
5,4,3,OO,5576,SFO,18.67,81,105,422
5,9,1,WN,1858,SMF,16.75,70,-7,576
1,1,5,AA,810,ORD,13.83,105,42,985
3,19,6,OO,5563,SMF,8.45,50,-16,138
2,25,2,B6,1053,JFK,15.58,105,9,547
5,24,2,UA,14,SFO,16.25,340,238,4162
2,3,1,UA,557,ORD,9.78,190,15,1870
6,31,4,OO,5985,ORD,19.67,80,46,520
4,11,0,UA,403,LGA,8.1,264,7,2606
2,14,5,UA,53,JFK,11,375,10,3983
3,6,0,AA,1751,ORD,12,165,3,1489
5,21,6,UA,1163,SFO,13.68,89,25,542
9,21,2,US,961,SFO,8.25,318,-33,4057
8,26,5,HA,133,OGG,9.52,34,2,161
0,29,2,AA,363,LGA,20,150,None,1180
5,7,6,AA,345,LGA,17.5,160,205,1180
7,1,5,WN,3930,SJC,19.17,145,4,1526
8,14,0,OO,6226,ORD,14.45,111,188,940
8,12,5,WN,1026,SMF,16.17,80,23,639
5,22,0,AA,753,LGA,15.17,235,62,2235
3,3,4,OH,5469,JFK,16.67,178,57,1191
2,6,4,B6,37,JFK,8.17,190,-13,1617
6,20,0,OO,6380,SFO,11,92,18,840
10,2,0,US,1428,ORD,9.92,115,-9,1091
1,15,5,AA,1957,SFO,21.42,80,29,542
9,19,0,AA,498,ORD,17.17,145,-17,1191
0,6,0,OO,5497,SFO,22.58,81,26,402
7,14,4,OO,5796,SFO,20.47,58,18,246
6,22,2,US,2128,LGA,13,65,-5,298
0,17,4,OH,5268,LGA,19,101,79,470
9,15,3,UA,394,ORD,15.83,83,-24,425
2,18,2,UA,929,ORD,15.38,266,16,2799
4,2,5,UA,1479,ORD,12.33,226,17,2317
10,20,4,US,2189,LGA,20,76,None,344
3,22,2,OO,5475,SFO,13.97,81,-1,402
7,28,4,AA,787,LGA,19.58,225,34,2235
5,10,2,OO,6024,ORD,16.77,55,-5,253
7,19,2,UA,554,ORD,16.92,131,140,1260
1,20,3,WN,3227,TUS,18.08,75,45,587
4,24,6,UA,817,SFO,10.33,86,18,542
5,3,2,AA,1521,ORD,19.58,210,161,2313
0,2,3,AA,179,JFK,8.75,395,-11,4162
4,26,1,UA,669,LGA,7.03,148,13,1180
2,4,2,WN,2372,TUS,18.92,70,-4,591
2,7,5,OO,5871,ORD,17.83,159,19,1466
9,15,3,UA,712,ORD,17.98,117,-10,948
11,26,5,AA,16,SFO,11.83,330,3,4162
2,11,2,UA,381,ORD,10.6,268,89,2866
5,22,0,UA,606,ORD,8.98,107,58,985
2,5,3,WN,1286,SMF,20.67,110,2,974
1,2,6,B6,647,JFK,18.42,405,17,4162
9,12,0,AA,2378,ORD,15.33,180,-8,1926
2,2,0,UA,315,LGA,15.5,271,1,2606
6,22,2,WN,3166,SMF,7.08,90,-8,772
1,5,2,AA,380,ORD,10.67,125,43,1180
7,18,1,US,1892,ORD,15.92,113,-15,964
4,3,6,AA,1555,JFK,15.92,180,87,1754
8,12,5,WN,879,SMF,20.83,85,-2,771
0,8,2,AA,386,ORD,8.75,120,None,1180
11,28,0,AA,154,ORD,17.08,135,-11,1395
11,5,5,UA,1526,ORD,8.32,187,14,1926
2,18,2,WN,595,SJC,11,125,-4,1122
11,18,4,WN,1684,SJC,19.5,70,160,536
3,16,3,AA,1014,ORD,21.5,65,87,415
6,16,3,UA,626,ORD,19.08,111,110,985
6,23,3,UA,311,SFO,12.45,90,56,599
10,16,0,US,817,ORD,7.25,124,57,1091
2,12,3,OH,5385,LGA,8.75,153,42,1032
0,23,3,AA,272,SFO,21.83,293,None,4160
7,7,4,B6,309,JFK,15.5,88,34,367
4,15,4,UA,9,JFK,21.25,401,2,4162
5,11,3,WN,2212,SFO,10.25,80,None,542
9,9,4,AA,2090,SFO,11,210,-11,2356
6,11,5,OO,6246,ORD,21.82,83,81,460
6,4,5,UA,748,SFO,10.07,63,115,309
0,26,6,OO,6343,SFO,7.33,88,-7,599
1,14,4,UA,128,ORD,7.6,116,-8,1091
2,22,6,OO,6186,ORD,8.57,125,97,1223
6,19,6,HA,565,OGG,22.17,34,32,161
11,18,4,US,165,SJC,10.08,83,-2,621
3,1,2,UA,602,ORD,7,107,3,985
6,7,1,AA,1677,ORD,18.83,255,108,2778
8,10,3,UA,818,ORD,20.75,128,-3,1157
0,11,5,OO,6406,SFO,12,94,109,726
11,20,6,B6,21,JFK,18.92,200,206,1617
4,12,1,UA,355,ORD,12.05,260,16,2770
1,19,2,UA,565,ORD,20.17,218,136,2010
6,31,4,US,128,SFO,15.58,120,-3,1048
8,7,0,OO,5564,SFO,19.25,40,-6,138
1,11,1,OH,5246,JFK,8.58,143,22,818
5,15,0,OO,6485,ORD,18.32,94,43,705
6,18,5,HA,30,OGG,14.5,320,82,4249
10,26,3,OO,5496,SFO,22.5,61,1,307
10,16,0,OO,6336,SFO,8.1,58,-12,309
5,6,5,UA,842,ORD,8.1,258,39,2808
0,25,5,AA,347,LGA,18.25,164,38,1180
0,8,2,AA,15,JFK,11,379,82,4162
0,3,4,OO,3894,ORD,11.75,120,17,975
3,22,2,US,1646,LGA,10,127,-4,875
2,11,2,B6,383,LGA,21.75,170,12,1732
0,11,5,OH,5679,LGA,17.02,130,101,769
8,9,2,UA,395,ORD,16.88,263,-14,2773
2,2,0,UA,678,ORD,11,126,27,1180
6,16,3,UA,1270,SFO,12.85,92,56,726
7,26,2,UA,395,ORD,17.75,250,61,2773
4,11,0,WN,1764,SMF,9.42,75,-6,626
5,7,6,AA,1417,ORD,14.75,225,57,2438
5,16,1,B6,735,JFK,6,219,-8,2536
9,26,0,OO,6017,ORD,8.18,116,-9,946
5,26,4,US,378,SMF,22.5,280,29,3611
5,3,2,OH,5487,JFK,16.67,139,36,777
6,17,4,WN,1906,SJC,6.75,75,-2,536
9,27,1,UA,476,ORD,13.63,59,42,220
1,25,1,AA,1637,ORD,9.67,225,42,2313
0,7,1,AA,2348,ORD,16.08,90,172,538
2,5,3,UA,642,ORD,10.67,127,81,1157
8,28,0,AA,2443,LGA,9.98,160,26,1225
0,20,0,OO,6015,ORD,10,119,77,896
6,19,6,WN,804,SMF,15.5,70,-7,576
9,26,0,AA,2340,ORD,13.83,80,-3,378
0,11,5,UA,1532,ORD,13.17,153,21,1617
8,8,1,UA,38,OGG,21.25,288,4,3763
3,28,1,UA,690,ORD,16.92,136,89,1180
2,15,6,OO,4110,ORD,17.58,120,90,975
8,29,1,OH,6780,LGA,17.83,118,107,742
7,21,4,AA,269,JFK,16.75,385,20,3896
10,19,3,UA,508,ORD,19.9,124,-24,1228
2,14,5,OO,5855,ORD,7.65,56,-18,257
1,19,2,UA,540,ORD,17,139,-3,1395
11,18,4,WN,1708,SJC,14.67,75,256,496
11,11,4,OH,6611,LGA,10.67,121,None,769
9,11,6,AA,303,LGA,7,145,-1,1180
7,8,5,AA,2189,LGA,7.5,175,10,1765
3,20,0,UA,850,ORD,19,136,22,1180
3,20,0,UA,851,LGA,10,140,16,1180
5,6,5,OO,5792,SFO,15.15,120,40,744
8,13,6,WN,1864,SJC,7.17,80,-9,671
1,15,5,AA,1450,ORD,14.25,145,71,1157
3,4,5,WN,1315,SJC,20.67,55,64,303
7,15,5,AA,1943,SFO,18.83,80,17,542
6,28,1,AA,2293,ORD,17.25,155,78,1574
2,1,6,UA,1210,ORD,13.27,142,-13,1392
9,16,4,OH,6335,JFK,13.67,107,45,686
7,10,0,AA,763,LGA,17.42,230,None,2235
1,24,0,WN,2175,SFO,14.42,85,158,666
1,4,1,AA,312,TUS,9.5,130,19,1308
6,26,6,US,514,SJC,13.83,84,-3,621
6,23,3,OH,5523,LGA,8,104,76,694
8,18,4,AA,117,JFK,14.5,355,1,3983
4,4,0,OH,5203,JFK,18.83,278,62,2449
0,1,2,UA,482,SFO,18.08,144,-8,1556
4,26,1,UA,542,ORD,19.5,140,22,1395
11,21,0,WN,1510,SFO,16.17,85,105,542
8,19,5,OH,6735,LGA,21.98,153,43,1394
10,22,6,AA,16,SFO,11.83,330,21,4162
0,6,0,AA,177,JFK,17.75,395,91,4162
7,31,0,B6,904,ORD,9.58,130,-15,1191
4,2,5,B6,199,JFK,21.08,347,34,3618
4,19,1,OO,5867,ORD,19.83,171,16,1675
3,21,1,AA,1718,ORD,8.75,140,-6,1395
0,8,2,OO,5873,ORD,10.25,54,27,175
0,31,4,AA,2353,ORD,19.33,145,None,1291
0,28,1,OO,5447,SFO,9.83,62,32,254
0,15,2,US,640,SJC,19.08,112,-13,999
6,1,2,UA,688,ORD,15.92,145,-12,1180
9,25,6,OO,5447,SFO,9.88,60,11,254
1,15,5,AA,2352,ORD,16.67,139,20,1191
0,20,0,WN,1598,SMF,21.5,85,-10,772
6,20,0,WN,2712,SMF,7.67,80,-3,600
1,19,2,UA,117,ORD,20.25,271,22,2770
7,23,6,AA,352,ORD,17.58,140,-5,1180
4,14,3,OO,6145,ORD,6.47,107,-6,977
1,13,3,AA,637,LGA,13.08,185,262,1765
5,15,0,OO,6300,ORD,11.42,86,-6,663
2,10,1,AA,791,LGA,20.83,230,None,2235
4,3,6,AA,1341,ORD,7.5,275,-14,2971
1,5,2,AA,2329,ORD,13.75,150,36,1291
4,2,5,OO,5951,ORD,7.63,97,18,790
7,2,6,UA,549,ORD,11.05,86,-6,538
7,1,5,OO,5783,SFO,11.37,92,7,489
6,31,4,OO,6485,ORD,18.48,94,39,705
7,19,2,US,2138,LGA,18,74,-21,298
5,13,5,AA,2470,ORD,20.92,110,182,1041
5,5,4,US,1881,ORD,17.75,116,33,964
11,29,1,AA,876,ORD,6.5,130,1,1395
3,22,2,UA,534,ORD,13.08,146,34,1395
11,21,0,US,704,SFO,11.33,278,30,3695
2,23,0,AA,333,LGA,13.5,165,-25,1180
7,22,5,WN,3576,SJC,11,70,-5,536
0,3,4,AA,1909,ORD,9.67,265,44,2808
3,25,5,AA,1165,JFK,8.75,185,2,1754
2,27,4,UA,896,ORD,16.92,117,58,975
2,8,6,UA,53,JFK,11.33,375,50,3983
6,14,1,AA,1689,ORD,19.33,260,84,2799
0,5,6,UA,891,JFK,6.83,377,55,3983
10,8,6,UA,690,ORD,17.08,142,-21,1180
3,17,4,OH,5032,ORD,19.27,74,25,425
6,1,2,UA,11,JFK,11.08,382,35,4162
4,17,6,AA,779,ORD,10.33,255,-36,2773
6,23,3,AA,1677,ORD,18.83,255,-21,2778
0,23,3,UA,818,ORD,21,122,74,1157
4,28,3,UA,1514,ORD,18.17,181,5,1902
6,7,1,UA,1240,SMF,10.65,141,-1,1464
0,23,3,UA,332,ORD,21.33,71,55,378
3,11,5,UA,73,SFO,9.08,317,18,3859
4,26,1,OO,5950,ORD,16.78,49,-7,187
7,20,3,UA,679,LGA,12,156,-10,1180
1,12,2,WN,1223,SMF,12.75,235,36,2881
10,14,5,AA,1145,ORD,10.08,215,-10,2010
4,13,2,UA,310,ORD,21.42,91,57,761
4,11,0,AA,1025,ORD,15.33,60,58,285
11,17,3,OO,6356,SFO,21.07,102,-10,964
2,28,5,AA,59,JFK,7,385,22,4162
2,23,0,AA,2333,ORD,15,155,-9,1291
5,27,5,UA,685,LGA,15,154,-11,1180
8,4,4,OO,6269,ORD,18.17,55,None,175
2,22,6,HA,180,OGG,12.08,31,-5,135
9,17,5,B6,173,JFK,17.67,400,-32,4134
2,16,0,OO,4021,SFO,13,108,19,964
7,3,0,AA,2420,ORD,7,165,5,1802
10,9,0,OH,6696,ORD,18,75,-6,425
7,5,2,UA,756,ORD,18.78,140,73,1392
1,23,6,OO,5446,SFO,10.67,66,None,307
8,4,4,UA,707,ORD,6.02,152,-11,1429
2,17,1,AA,67,ORD,17.08,150,24,1291
5,19,4,B6,37,JFK,7.92,173,5,1654
5,8,0,UA,1506,SFO,18.3,126,40,1048
11,16,2,OO,5444,SFO,17.83,66,85,307
4,26,1,US,1247,LGA,8.25,120,-26,875
1,9,6,OO,6467,SMF,11.52,86,8,600
4,7,3,AA,154,ORD,17.58,145,10,1395
9,10,5,OO,5829,ORD,17.15,51,22,108
1,19,2,UA,549,ORD,11.17,85,20,538
1,4,1,UA,446,ORD,15.75,108,214,964
7,15,5,WN,2155,SMF,12.42,240,-9,2881
2,28,5,US,58,SMF,20.67,84,-7,639
8,22,1,UA,538,ORD,17.08,141,18,1395
3,21,1,AA,1693,ORD,20.67,260,74,2808
3,11,5,AA,2077,ORD,10.42,105,None,941
8,21,0,OO,6337,ORD,11.98,45,71,175
6,15,2,B6,1075,JFK,14.98,91,17,463
1,8,5,OO,5445,SFO,14.52,66,35,307
5,16,1,AA,1715,ORD,12.83,225,10,2438
7,31,0,B6,701,JFK,23.98,222,17,2570
11,14,0,AA,181,JFK,17.33,385,113,3983
9,28,2,UA,337,ORD,8.03,92,-12,538
6,5,6,WN,156,SMF,20.33,85,104,772
7,18,1,UA,1476,SFO,6.47,94,-7,666
1,22,5,AA,2463,ORD,7.75,85,-4,649
11,4,4,OO,6567,ORD,20.4,156,58,1466
3,28,1,AA,411,ORD,18,265,34,2808
3,28,1,B6,638,SFO,21.42,335,-17,4352
6,29,2,WN,2348,SFO,12.25,120,-9,1048
1,1,5,US,476,JFK,9.75,353,33,3465
1,10,0,OH,5440,JFK,18.33,102,None,171
0,29,2,OO,5716,SFO,20.75,42,135,126
6,21,1,UA,653,ORD,20.58,271,24,2943
6,19,6,UA,628,ORD,20.83,107,9,985
7,19,2,UA,1101,ORD,8.08,150,-5,1291
7,11,1,B6,355,JFK,13.58,348,253,3967
0,23,3,UA,176,SFO,11.5,333,-18,4352
5,1,0,OO,5869,ORD,10.2,54,-8,209
0,1,2,B6,29,JFK,19.17,200,33,1617
5,16,1,AA,785,LGA,18.42,230,174,2235
9,20,1,AA,16,SFO,11.5,340,-14,4162
3,26,6,AA,2098,ORD,16.58,145,70,1395
4,24,6,AA,1059,ORD,14.92,120,-21,975
11,23,2,OO,6352,SFO,18.98,117,69,1209
11,26,5,AA,2420,ORD,6.58,170,44,1802
1,15,5,UA,945,ORD,12.5,268,-33,2808
8,28,0,OH,6419,JFK,17.67,269,62,2449
2,11,2,UA,614,ORD,13.17,107,-8,985
0,27,0,OO,6360,SFO,16.02,110,147,964
1,10,0,AA,347,LGA,18.25,164,70,1180
11,28,0,OO,5994,ORD,11.52,61,21,285
3,10,4,OH,5639,JFK,16.25,128,-15,547
8,9,2,AA,789,ORD,15.67,155,79,1429
7,3,0,WN,1896,SFO,12,80,1,542
0,7,1,OH,5381,JFK,8.47,107,-21,463
11,20,6,OO,5792,SFO,15.32,125,63,744
8,12,5,UA,538,ORD,17.08,141,78,1395
11,20,6,US,2,ORD,5,233,26,2317
0,24,4,AA,353,LGA,19.48,160,87,1180
11,9,2,AA,301,LGA,6,150,18,1180
11,8,1,UA,322,SFO,10.4,129,-4,1093
5,17,2,OO,5862,ORD,17.98,83,53,460
2,13,4,AA,150,SFO,23.42,320,57,4352
2,20,4,US,343,ORD,7.42,235,0,2317
5,24,2,B6,1105,JFK,12.42,104,0,686
2,28,5,WN,2993,SMF,6.25,110,-4,1041
4,10,6,OH,5493,ORD,6,84,33,425
1,2,6,AA,851,ORD,9.58,90,47,538
5,17,2,UA,460,ORD,13.55,120,-6,1164
0,8,2,UA,502,ORD,20.25,146,53,1347
2,20,4,B6,1,JFK,10.92,184,111,1720
5,26,4,US,2161,LGA,6,68,-15,344
5,19,4,B6,130,JFK,18.67,103,29,484
5,13,5,OO,6510,SMF,18.37,91,-4,600
1,20,3,UA,148,ORD,17.92,122,83,1091
8,27,6,B6,346,JFK,15.67,87,93,301
2,25,2,UA,669,LGA,7,156,0,1180
10,21,5,AA,1823,ORD,9.58,180,-9,1841
4,4,0,AA,1268,SMF,11.83,200,-15,2303
6,8,2,AA,2077,ORD,10.42,105,4,941
10,23,0,US,2183,LGA,17,75,-25,344
11,10,3,UA,1524,SFO,16.2,98,-8,666
7,2,6,OO,6208,SFO,12.38,136,20,1358
9,7,2,OO,6585,ORD,14.95,61,0,343
0,17,4,AA,599,LGA,10.67,195,160,1765
3,11,5,OO,6149,ORD,8.95,101,-3,855
1,7,4,AA,2463,ORD,7.75,85,-1,649
0,4,5,UA,843,SFO,11.75,251,None,2971
6,11,5,WN,328,SMF,13.75,105,-6,974
11,27,6,UA,836,ORD,18.08,141,43,1180
2,18,2,OO,6292,ORD,13.83,107,2,1053
4,21,3,UA,614,ORD,13,109,-11,985
6,3,4,WN,1812,SJC,13.25,75,-8,496
5,6,5,UA,714,SFO,10.67,246,None,2631
8,11,4,UA,1163,SFO,13.7,88,None,542
2,25,2,OO,6416,SFO,12.42,138,36,1442
9,14,2,AA,272,SFO,23.33,315,14,4160
2,25,2,B6,907,JFK,9.5,169,46,1191
6,7,1,B6,175,JFK,12,358,1,3896
0,4,5,UA,144,SFO,7.42,88,None,719
1,10,0,B6,937,ORD,17.58,265,11,2792
4,20,2,UA,145,ORD,12.45,273,-3,2971
5,12,4,AA,1651,LGA,9.42,190,82,1765
8,11,4,WN,1435,SMF,19.67,75,-4,626
5,6,5,B6,1022,JFK,21.75,91,46,301
7,4,1,HA,515,OGG,23.08,34,-22,161
1,11,1,OO,5815,ORD,16.78,64,34,315
8,16,2,WN,345,SFO,11,250,139,2985
0,28,1,UA,820,SFO,12.83,123,16,1093
4,14,3,OH,5526,JFK,20.58,96,11,430
9,18,6,AA,1899,LGA,6.33,155,-20,1427
8,22,1,UA,1504,SFO,10.78,96,28,666
0,6,0,WN,3048,SJC,15.25,70,81,496
5,19,4,US,31,OGG,22.67,346,231,4579
7,10,0,B6,922,ORD,18.92,140,210,1395
10,7,5,US,961,SFO,8.5,309,6,4057
9,21,2,US,1483,SFO,13.75,280,100,3627
10,15,6,B6,29,JFK,20.67,198,None,1617
2,29,6,B6,37,JFK,8.17,190,-6,1617
7,3,0,UA,689,LGA,17.08,165,-20,1180
1,24,0,B6,640,JFK,17.33,95,-17,301
4,30,5,UA,117,ORD,20.17,260,52,2770
11,7,0,AA,2099,ORD,7.08,270,-2,2808
8,3,3,B6,143,JFK,14.83,178,-35,1654
7,26,2,OH,5723,LGA,19.5,151,-24,1162
9,15,3,WN,1352,SJC,21,80,37,671
5,22,0,OH,5251,LGA,14.67,136,109,875
5,9,1,AA,739,LGA,11.83,220,34,2235
11,24,3,AA,716,ORD,7,155,None,1617
11,19,5,B6,304,SJC,10.92,74,-6,521
10,26,3,AA,1342,ORD,18.75,155,-20,1617
4,18,0,AA,317,ORD,12.08,160,-1,1489
7,3,0,OO,5864,ORD,7.57,52,33,220
11,21,0,AA,1575,JFK,17.58,260,34,2239
11,14,0,AA,333,ORD,16.67,70,24,415
7,12,2,UA,4,SFO,6,328,23,4162
7,25,1,AA,502,SJC,16.92,205,-8,2375
5,8,0,AA,759,LGA,16.42,225,-16,2235
0,2,3,WN,3515,SMF,7.25,75,4,626
7,19,2,UA,654,ORD,15.77,154,4,1157
9,9,4,UA,725,ORD,20.27,144,141,1291
5,16,1,AA,1014,ORD,21.5,60,48,415
11,8,1,OO,5781,SMF,6.58,63,14,333
7,24,0,AA,1509,ORD,21.75,225,-17,2438
1,17,0,B6,648,SFO,23.08,325,17,4162
0,23,3,AA,1943,SFO,18.25,80,16,542
11,19,5,B6,919,JFK,20.17,183,None,1191
5,19,4,B6,1301,JFK,6.92,90,-14,367
0,15,2,WN,2624,SMF,20,80,-10,600
3,2,3,WN,1669,SJC,17.33,70,-3,536
4,30,5,B6,649,JFK,20.5,388,42,4162
10,4,2,OO,5851,ORD,8.35,107,-14,840
6,12,6,UA,734,ORD,13.6,86,2,663
0,23,3,AA,1509,ORD,21.92,225,114,2438
8,5,5,OH,6831,JFK,21,93,3,296
5,20,5,US,2118,LGA,8,64,-7,298
11,17,3,UA,269,ORD,20.4,95,93,649
5,9,1,UA,640,ORD,21.5,115,16,975
6,22,2,UA,1568,ORD,18.7,160,-15,1629
6,27,0,UA,107,ORD,9,257,22,2808
7,11,1,AA,21,JFK,19.25,370,39,3983
10,14,5,UA,604,ORD,8.08,107,18,985
1,22,5,OO,5792,SFO,14.92,120,-18,744
10,27,4,AA,2450,SFO,12.25,85,43,542
1,6,3,UA,669,LGA,7,156,31,1180
4,16,5,B6,19,JFK,7.92,180,16,1720
2,8,6,US,1561,LGA,15.67,100,121,539
5,24,2,OH,5659,JFK,12.92,104,61,684
5,8,0,UA,690,ORD,16.95,143,52,1180
0,26,6,OO,5920,ORD,16.67,48,58,135
2,22,6,B6,1107,JFK,15.92,110,70,686
5,27,5,US,2187,LGA,19,73,None,344
10,8,6,AA,1612,SFO,9.67,255,-20,2971
8,2,2,B6,709,JFK,6,224,-6,2570
6,10,4,UA,892,SFO,10.2,354,16,4162
0,4,5,OO,5443,SFO,15.92,101,112,529
5,25,3,UA,265,ORD,9.85,200,3,2010
7,27,3,WN,720,SJC,21.58,95,None,999
2,2,0,WN,2871,SMF,20.83,105,6,1041
7,28,4,US,504,ORD,17.17,218,-3,2317
4,18,0,US,468,JFK,7.75,341,-21,3618
10,12,3,AA,2353,ORD,19.25,155,36,1291
5,10,2,OO,6226,ORD,15.75,110,37,940
1,12,2,AA,1704,ORD,9.25,120,None,1157
0,30,3,OO,5472,SFO,12.03,43,-8,124
4,30,5,UA,220,SFO,16.42,305,-15,3893
0,28,1,AQ,67,OGG,19,34,-4,161
5,21,6,B6,52,JFK,9.33,81,-19,430
6,14,1,UA,548,SFO,13,118,9,964
10,14,5,OH,6606,JFK,8.58,99,51,343
1,25,1,UA,893,JFK,8.53,403,-7,4162
6,10,4,B6,42,JFK,11,75,-7,336
9,1,3,AA,635,ORD,18.33,270,-28,2808
3,23,3,OO,5951,ORD,7.63,97,69,790
6,26,6,HA,133,OGG,9.35,34,71,161
1,4,1,B6,701,JFK,7,239,-14,2570
1,18,1,AA,554,SFO,16.58,245,18,2971
10,2,0,OO,5452,SFO,19.58,42,55,124
0,24,4,UA,654,ORD,16,150,None,1157
2,20,4,WN,3741,SMF,15.17,80,45,600
1,27,3,WN,3340,SJC,6.92,60,1,476
6,12,6,UA,844,SFO,14.78,87,-15,542
9,21,2,OO,5962,ORD,16.33,85,-2,663
5,29,0,US,92,ORD,14.17,229,-22,2317
11,25,4,UA,1176,SFO,18.75,130,61,1093
3,24,4,UA,914,SFO,7.85,301,-31,3893
7,16,6,OO,5875,ORD,8.03,60,7,315
9,1,3,OH,6719,JFK,12.58,89,13,484
7,13,3,AA,2377,LGA,6.5,140,23,1225
1,6,3,B6,1079,JFK,22.17,94,-2,463
11,15,1,OH,6463,ORD,13.78,83,48,425
3,2,3,OO,6352,SFO,21.92,120,-10,1209
10,16,0,AA,2317,ORD,10.08,160,-21,1291
2,1,6,AA,117,JFK,14.5,370,132,3983
1,16,6,AA,1450,ORD,14.25,145,17,1157
8,14,0,AA,1950,SFO,6,310,19,4160
5,10,2,HA,205,OGG,6.03,34,1,161
7,5,2,UA,340,ORD,16.25,118,None,1001
6,30,3,OO,5560,SFO,6.33,39,-8,124
11,22,1,AA,16,SFO,11.83,330,104,4162
8,18,4,UA,340,ORD,16.17,114,89,1001
5,11,3,WN,1619,SFO,16.08,120,18,1048
0,8,2,OO,5843,ORD,17.92,53,34,108
7,7,4,WN,3659,SJC,18.08,80,34,621
8,17,3,WN,1230,SJC,14.75,130,-21,1122
6,28,1,UA,675,ORD,19.93,169,59,1675
5,10,2,AA,2466,SFO,0.67,200,85,2356
1,7,4,UA,128,ORD,7.63,117,None,1091
6,23,3,OO,3881,TUS,7.58,108,-8,967
9,19,0,AA,2455,ORD,7.5,220,12,2317
5,3,2,AA,185,JFK,20.5,373,48,3983
8,29,1,OH,6826,LGA,17.42,141,-2,1032
10,11,2,WN,293,SMF,14.83,70,-14,576
5,7,6,UA,1005,ORD,9.83,185,25,1870
4,13,2,AA,1396,SFO,16.17,205,26,2356
0,15,2,AA,1031,ORD,18.83,195,-19,1989
0,8,2,AA,1861,ORD,12,90,42,649
6,6,0,UA,763,ORD,14.92,73,-1,415
1,4,1,AA,345,LGA,17.25,164,None,1180
7,24,0,UA,51,SFO,10.67,320,-10,3763
7,5,2,UA,501,SFO,10.2,99,None,719
5,29,0,HA,132,OGG,9.08,36,55,195
10,14,5,UA,186,SFO,13.65,317,111,4057
6,6,0,OO,5912,ORD,10.92,75,-6,509
0,22,2,AA,444,ORD,10.08,130,-2,1395
5,16,1,OO,5979,ORD,16.97,49,41,196
0,11,5,UA,376,ORD,16.17,122,49,1091
10,18,2,WN,215,SFO,8.25,245,3,2985
3,6,0,WN,1745,SFO,19.5,90,117,719
4,31,6,AA,1713,LGA,15.25,195,21,1765
1,8,5,AQ,229,OGG,21.17,34,-9,161
4,11,0,OO,6023,ORD,15.82,100,159,790
8,6,6,UA,1240,SMF,10.62,138,-8,1464
9,16,4,UA,1534,ORD,16.97,161,21,1617
7,4,1,WN,1501,SMF,21.67,110,55,1041
0,17,4,UA,722,ORD,15.75,111,25,948
7,9,6,US,908,ORD,5.83,121,-7,1091
3,28,1,WN,3516,SJC,19.08,60,22,476
3,4,5,AA,1722,ORD,13.17,70,0,415
11,8,1,AA,257,JFK,16.75,360,-13,3618
10,25,2,OH,6467,LGA,16.98,120,6,694
3,22,2,AA,1362,ORD,12.92,140,22,1191
4,4,0,UA,982,ORD,17.83,116,-2,948
7,29,5,US,438,JFK,7.75,333,-23,3618
4,28,3,WN,2726,SFO,14,85,33,719
6,27,0,OH,5441,JFK,15.17,94,262,367
2,9,0,US,570,SFO,9.17,117,62,1048
7,30,6,B6,15,JFK,16.58,191,-3,1720
6,18,5,B6,189,JFK,12.55,327,0,3618
5,17,2,AA,1463,ORD,10.67,150,-1,1429
6,8,2,UA,292,SFO,13.33,317,23,3935
8,11,4,UA,534,ORD,12.95,140,-16,1395
