mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
9,9,4,UA,203,ORD,334,8.92,92,-9
11,11,4,AA,1462,ORD,719,8.33,125,10
6,27,0,AA,1331,ORD,1671,9.92,245,-2
11,25,4,WN,3572,SJC,569,8.5,110,-6
9,7,2,OH,6627,JFK,483,16.67,140,-43
0,15,2,UA,275,ORD,403,17.33,93,1
5,5,4,WN,439,SMF,479,14.33,85,8
2,19,3,UA,516,ORD,867,15.75,137,29
1,7,4,AA,1571,ORD,334,11.67,90,-15
11,6,6,UA,893,JFK,2586,8.12,412,-40
11,5,5,HA,575,OGG,100,14.42,34,-9
7,19,2,WN,1750,SMF,480,20.58,85,-6
10,19,3,AA,827,ORD,1829,18.08,285,-19
6,27,0,OO,6356,SFO,599,21.25,103,129
4,28,3,UA,4,SFO,2586,6,330,-9
3,17,4,B6,931,ORD,1735,8,268,-23
0,14,1,OO,5973,ORD,139,12.52,54,-13
4,18,0,B6,16,JFK,267,14.48,81,-16
8,26,5,UA,176,SFO,2704,11.8,338,56
1,16,6,OO,5741,SFO,78,11,45,61
0,8,2,B6,908,ORD,740,12,130,27
7,8,5,WN,792,SJC,188,17,55,18
6,31,4,AA,2276,ORD,867,11.08,140,58
8,18,4,AA,442,SFO,2585,12.08,320,39
3,6,0,B6,53,JFK,1005,13,174,21
2,7,5,US,570,SFO,651,9.17,117,-12
8,10,3,AA,933,JFK,1090,12,170,32
6,31,4,OH,5362,JFK,106,22,94,36
2,10,1,UA,1239,ORD,296,10.68,74,78
6,27,0,UA,667,LGA,733,6,139,-14
0,24,4,AA,1067,ORD,925,9.58,165,16
0,5,6,OO,6356,SFO,599,21.25,104,23
8,14,0,UA,266,ORD,240,18.87,65,116
10,2,0,UA,34,OGG,2338,14.5,294,74
5,29,0,OO,5590,SFO,158,7.68,62,17
8,22,1,UA,405,LGA,1619,10.48,267,48
2,24,1,OO,6186,ORD,760,8.57,125,0
9,13,1,UA,776,ORD,264,13.27,83,30
6,9,3,AA,194,SFO,2704,13.83,335,-24
9,31,5,OO,5572,SFO,329,11.38,92,101
0,3,4,UA,604,ORD,612,15,107,5
6,4,5,WN,408,SMF,397,12.92,80,5
9,1,3,AA,1609,ORD,1118,18.92,185,-22
0,29,2,UA,893,JFK,2586,8.5,403,16
8,14,0,B6,135,JFK,1074,6.75,180,-23
11,2,2,AA,1210,ORD,867,12.42,135,-17
11,4,4,US,2134,LGA,185,16,69,-16
2,17,1,AA,179,JFK,2586,8.75,384,18
3,4,5,UA,863,ORD,1846,18.5,282,16
7,25,1,WN,1784,SJC,386,16,80,50
6,11,5,OH,5657,JFK,541,19.5,136,46
5,12,4,UA,266,ORD,240,19.5,71,202
4,16,5,OH,5094,ORD,264,16.25,77,23
0,7,1,UA,687,LGA,733,16,158,135
6,5,6,WN,1993,SMF,397,15,85,32
7,4,1,UA,492,ORD,647,13.2,126,219
11,16,2,UA,405,LGA,1619,10.98,276,65
8,25,4,AA,352,ORD,733,17.5,135,146
2,27,4,AA,1,JFK,2475,9,380,52
6,14,1,UA,463,ORD,334,22.78,82,-12
7,3,0,HA,197,OGG,100,20.17,34,-1
4,14,3,UA,536,SJC,1829,6.33,255,34
1,17,0,WN,2031,SMF,605,17.83,110,59
0,6,0,WN,2474,SJC,621,9.25,105,11
7,4,1,OH,5657,JFK,541,19.5,136,14
2,29,6,OO,6391,TUS,451,15.92,96,-11
9,8,3,B6,121,JFK,944,7,163,-5
5,28,6,AA,1,JFK,2475,9,355,1
3,19,6,UA,658,ORD,719,18,140,-26
9,7,2,OH,6562,JFK,382,12,94,-9
10,19,3,OO,6352,SFO,751,19.05,117,46
0,22,2,US,683,SFO,651,12.42,116,58
2,9,0,OO,5946,ORD,588,15.4,121,24
5,30,1,WN,1468,SJC,308,20.17,80,-13
3,1,2,UA,863,ORD,1846,18.5,282,90
11,23,2,UA,434,ORD,235,8.07,77,6
3,3,4,WN,3767,SMF,480,17.83,85,20
11,18,4,B6,717,JFK,1597,8.92,240,-26
2,23,0,AA,1613,ORD,1846,13,285,-31
4,20,2,AA,2441,ORD,606,6.92,115,-5
8,9,2,B6,42,JFK,209,11,73,111
7,10,0,UA,17,JFK,2586,17.32,413,287
1,17,0,WN,2297,SMF,358,20.75,70,245
7,16,6,OH,5362,JFK,106,22,58,27
7,19,2,UA,90,SFO,2565,8.78,345,18
3,20,0,UA,534,ORD,867,13.17,146,28
7,19,2,AA,759,LGA,1389,16.42,225,23
6,22,2,AA,1450,ORD,719,14.67,139,91
7,25,1,OO,6475,SMF,373,21.8,91,-12
8,2,2,OO,5806,ORD,462,15,96,-17
11,2,2,AA,1184,ORD,719,11.83,130,49
6,30,3,UA,466,SFO,967,16.08,155,92
11,24,3,WN,1852,TUS,451,16.83,95,150
10,10,1,AA,1864,TUS,1437,7.08,210,-33
1,10,0,OH,5009,JFK,264,20.58,110,75
3,12,6,OO,6112,ORD,462,8,97,-12
5,6,5,UA,766,ORD,622,21.75,106,17
6,21,1,UA,10,SFO,2586,11.38,354,110
9,31,5,WN,236,SMF,358,10.17,70,0
9,24,5,AA,1253,ORD,258,21.42,65,78
2,28,5,US,2144,LGA,185,21,72,27
5,16,1,B6,701,JFK,1597,23.98,222,137
3,27,0,UA,295,ORD,1781,15.5,269,25
11,19,5,OH,6785,JFK,213,16,96,152
10,29,6,WN,199,SFO,414,14,100,-15
6,21,1,WN,2530,SJC,296,10.17,60,-2
3,6,0,UA,77,SFO,2398,16.82,326,13
9,28,2,OO,6378,SFO,963,14.98,152,33
1,18,1,UA,531,ORD,925,14.75,175,61
6,5,6,UA,27,JFK,2475,15.6,371,-11
6,20,0,US,1437,LGA,544,14.67,120,14
7,21,4,OH,5269,LGA,292,19.5,102,47
5,26,4,WN,2579,TUS,451,6.08,85,-1
1,21,4,WN,1555,SMF,389,10,75,52
5,21,6,B6,42,JFK,209,11,75,-6
0,2,3,AA,1513,ORD,888,18.75,160,58
0,5,6,OO,6397,SFO,363,14,74,163
5,13,5,UA,394,ORD,473,9,92,43
11,25,4,OO,5792,SFO,462,14.83,125,52
0,22,2,OO,5444,SFO,191,17.92,66,74
11,11,4,AA,2255,LGA,1097,6.08,180,29
0,6,0,WN,173,SJC,569,16.5,105,45
8,28,0,B6,173,JFK,2569,17.67,400,76
3,15,2,OH,5160,JFK,288,14.98,91,-5
5,13,5,AA,1450,ORD,719,14.67,139,153
5,23,1,AA,1425,ORD,1726,9.5,245,31
8,7,0,AA,1137,ORD,837,8.08,135,19
3,23,3,OH,4987,LGA,834,12.25,169,1
5,17,2,UA,518,ORD,412,16.3,86,-12
11,18,4,B6,709,JFK,1597,9.98,236,4
3,21,1,AA,368,ORD,733,13.33,135,48
10,22,6,UA,566,ORD,606,18.05,120,-26
10,28,5,US,780,SFO,2296,22.67,276,22
6,6,0,UA,636,ORD,412,7.3,86,49
1,19,2,AA,1772,ORD,1005,8.42,155,35
1,12,2,AA,1715,ORD,1515,12.33,240,44
2,7,5,AA,1918,ORD,719,20,125,98
5,26,4,WN,3506,SJC,697,8.75,125,6
10,19,3,AA,2309,ORD,802,8.75,160,-39
4,18,0,AA,1059,ORD,606,14.92,120,2
5,4,3,B6,703,JFK,1597,15.25,241,11
3,17,4,AA,2337,ORD,802,16.08,150,73
4,2,5,UA,566,ORD,606,17.92,120,128
9,20,1,B6,357,JFK,2465,16.88,375,3
10,21,5,OH,6467,LGA,431,17.18,120,29
5,20,5,UA,645,ORD,1726,17.92,256,59
0,6,0,WN,1655,TUS,451,12,95,18
9,4,6,B6,119,JFK,1182,14.67,198,1
1,20,3,B6,1087,JFK,541,21.75,127,96
8,30,2,UA,133,SFO,337,8.95,95,-11
8,11,4,OO,5910,ORD,773,9.1,122,63
0,8,2,UA,1256,ORD,299,6.5,74,0
3,30,3,WN,643,SFO,337,6.17,85,-20
3,2,3,AA,451,ORD,1846,10.17,285,60
3,13,0,B6,907,JFK,740,9.5,169,-9
9,15,3,UA,269,ORD,403,20.67,93,14
4,3,6,US,208,SFO,651,15.67,117,0
8,29,1,AA,1940,ORD,1197,19.42,175,41
2,4,2,AA,3,JFK,2475,12,370,-27
3,18,5,WN,2035,SMF,605,10.33,110,-9
6,27,0,AA,1255,ORD,925,19.17,160,39
6,6,0,OH,5395,JFK,301,10.98,96,55
4,31,6,OO,3931,TUS,601,11.58,107,-8
9,4,6,UA,332,ORD,235,21.07,70,-12
0,18,5,WN,1009,SFO,337,15.75,90,-3
11,1,1,WN,2556,SFO,337,20.92,85,41
8,5,5,OH,6892,JFK,144,14.98,66,18
9,12,0,UA,207,ORD,1846,9,277,33
1,26,2,UA,975,ORD,2116,8.42,284,89
9,29,3,AA,779,ORD,1723,11,260,-28
1,19,2,B6,53,JFK,1005,13,174,18
5,23,1,OO,6509,TUS,451,7.97,90,-2
11,18,4,UA,371,ORD,1739,17.72,274,16
1,1,5,OO,6397,SFO,363,14.47,80,-18
0,8,2,AA,370,ORD,733,12.67,125,19
0,5,6,UA,371,ORD,1739,17.77,270,87
3,8,2,OO,6089,ORD,1041,8.58,171,42
5,30,1,UA,678,ORD,733,11.08,133,6
9,8,3,UA,1508,ORD,1005,10.75,156,4
2,19,3,AA,2098,ORD,867,16,135,107
10,26,3,US,1776,TUS,1735,9.75,213,-2
10,10,1,UA,617,ORD,1726,15.4,271,-24
9,29,3,B6,608,JFK,274,22.5,81,3
10,6,4,OO,5550,SFO,262,13.65,79,5
3,11,5,US,2191,LGA,214,21,78,47
3,19,6,OO,6086,SMF,86,10.92,47,22
2,28,5,UA,395,ORD,1723,19.18,265,5
9,27,1,WN,1774,SMF,605,7,105,-18
5,18,3,OH,5248,JFK,426,16.08,130,-11
9,7,2,OO,5728,SFO,304,17.67,90,-13
4,9,5,HA,105,OGG,100,6.23,34,-7
11,23,2,UA,894,SFO,967,8.72,157,-18
10,26,3,AA,1677,ORD,1726,18.67,260,-7
6,29,2,UA,793,ORD,334,12,86,18
10,8,6,UA,6,SFO,2586,7.45,333,1
5,29,0,OO,6388,SFO,522,16.85,96,39
3,25,5,UA,870,SFO,1846,13.52,251,60
0,25,5,B6,1307,JFK,228,12,75,-15
8,2,2,UA,322,SFO,679,10.68,128,-13
6,8,2,AA,1565,ORD,334,7.33,85,2
5,12,4,AA,1442,ORD,612,16.58,110,6
7,30,6,UA,540,ORD,867,18.08,144,4
2,17,1,AA,2360,ORD,334,19.58,90,107
4,14,3,AA,2090,SFO,1464,11.25,210,75
7,21,4,WN,808,SMF,404,14.08,85,0
1,8,5,US,425,SJC,621,12.73,111,-8
9,2,4,UA,341,ORD,416,9.83,90,-13
7,24,0,US,202,SMF,647,6,113,72
8,24,3,AA,382,ORD,733,10.17,130,30
0,29,2,AA,313,LGA,733,9,160,9
11,8,1,UA,1534,ORD,1005,16.18,160,18
1,1,5,WN,1754,SMF,373,17.17,80,141
4,9,5,UA,722,ORD,589,15.92,116,-10
10,5,3,OO,5790,SFO,153,17.25,59,-14
6,4,5,UA,858,SFO,337,10.3,89,-8
11,21,0,B6,619,JFK,829,20.98,171,210
4,4,0,OH,5229,LGA,431,17.25,109,2
2,22,6,OH,5279,JFK,340,19.33,114,36
2,31,1,AA,353,LGA,733,19.48,160,117
3,18,5,OO,5851,ORD,522,8,102,1
11,23,2,UA,216,SFO,372,8.9,89,43
6,24,4,UA,24,OGG,2486,15.55,317,-27
0,8,2,UA,907,ORD,1846,17,276,25
4,6,2,UA,388,ORD,599,9.7,109,11
0,15,2,AA,753,LGA,1389,15.25,245,-1
5,30,1,OO,5550,SFO,262,13.65,89,24
11,22,1,US,821,ORD,599,9.5,113,58
7,15,5,OH,5501,JFK,766,11.92,173,-20
4,31,6,OO,5914,ORD,323,14.33,80,-14
11,21,0,UA,470,ORD,678,21.4,117,108
7,12,2,OH,5703,LGA,641,21.98,120,18
9,5,0,UA,54,SFO,679,6.22,128,-8
9,2,4,OO,6048,ORD,654,21.25,112,-18
6,22,2,UA,8,SFO,2586,9.3,342,18
11,24,3,WN,2118,SFO,337,20,85,40
2,18,2,OO,5979,ORD,122,16.75,50,148
0,10,4,AA,423,JFK,1090,11.5,190,-25
0,29,2,AA,1544,SFO,1846,10.92,260,109
6,25,5,WN,989,SMF,479,21.17,85,-14
6,10,4,B6,97,JFK,1626,20.08,272,156
9,24,5,WN,581,SJC,308,20.83,80,6
6,2,3,US,605,ORD,1515,15.42,231,16
5,14,6,AA,2456,ORD,678,13.33,125,-12
5,4,3,AA,1194,SJC,1829,13.33,250,67
6,14,1,OO,5446,SFO,191,10.42,70,84
6,17,4,HA,515,OGG,100,23.08,34,-19
10,10,1,UA,1633,ORD,1440,11.93,235,-25
6,3,4,US,2140,LGA,185,19,74,6
0,11,5,WN,463,SJC,308,10.17,75,-6
7,11,1,WN,3253,SJC,569,10.83,100,22
3,15,2,UA,243,ORD,888,8,154,-16
5,3,2,UA,1498,ORD,1182,8.48,181,16
0,10,4,UA,34,SFO,2586,22.25,321,57
8,3,3,OO,3904,SFO,599,6.25,110,12
9,28,2,UA,1479,ORD,1440,17.2,232,50
1,15,5,B6,27,JFK,1028,13.67,173,15
9,2,4,OO,6567,ORD,911,20.67,152,87
4,26,1,US,2185,LGA,214,18,79,6
1,1,5,OO,5452,SFO,77,19.5,43,18
6,26,6,HA,345,OGG,100,15.58,34,23
6,8,2,WN,1690,TUS,365,6.25,70,-4
9,11,6,B6,45,JFK,1005,7.93,174,-19
7,16,6,B6,99,JFK,2576,9.58,374,-34
6,2,3,UA,27,JFK,2475,15.83,371,78
8,25,4,B6,8,JFK,301,14.67,91,21
2,15,6,AA,755,ORD,1041,10.67,175,5
0,30,3,US,323,ORD,1515,8.48,242,21
1,27,3,B6,1309,JFK,228,17.58,95,-2
0,11,5,UA,872,SFO,2419,11,303,-21
7,23,6,OO,5479,SFO,238,12.55,85,45
11,28,0,OH,6629,JFK,426,8.48,127,29
10,17,1,OO,5884,ORD,585,15.58,119,115
4,15,4,B6,922,ORD,867,18.92,140,-8
9,29,3,UA,1463,ORD,1515,12.02,240,21
5,1,0,WN,989,SMF,479,21.17,85,26
11,23,2,UA,730,ORD,622,19.25,112,177
5,24,2,B6,922,ORD,867,18.92,140,26
6,6,0,WN,1252,SFO,651,9.17,120,-4
3,15,2,AA,889,ORD,1745,17.17,260,11
8,19,5,AA,1318,ORD,1005,19,150,35
0,2,3,UA,139,ORD,1846,10,280,21
5,23,1,B6,201,JFK,2465,8.5,357,18
1,4,1,B6,908,ORD,740,12,130,189
5,15,0,AA,1544,SFO,1846,10.75,260,23
10,4,2,OO,5704,SJC,234,20.5,67,-14
3,19,6,WN,3044,SFO,447,19.58,90,-6
3,15,2,AA,1559,LGA,1097,17.42,190,-12
9,24,5,AA,780,ORD,1197,6,175,14
11,6,6,WN,3041,SMF,389,9.17,75,2
5,15,0,OO,5525,SFO,86,13.42,50,0
3,13,0,UA,476,ORD,473,7.3,92,10
7,8,5,WN,903,SFO,337,14.08,80,62
1,15,5,OH,5660,ORD,740,7,138,17
11,18,4,WN,3499,SJC,417,17.08,80,48
3,13,0,US,2175,LGA,214,13,77,-13
7,24,0,AA,1613,ORD,1846,13.17,265,5
10,1,6,UA,506,ORD,473,8.07,91,-15
11,21,0,B6,1432,SFO,354,7,87,62
2,7,5,OO,6761,ORD,466,20.5,102,7
7,26,2,WN,66,SMF,479,14.42,85,-1
3,6,0,UA,580,ORD,622,10.67,110,13
11,29,1,UA,1164,SFO,447,22.35,88,10
3,4,5,OH,5103,JFK,267,9.33,96,45
6,18,5,AA,337,LGA,733,14.98,160,20
3,26,6,AA,2321,ORD,802,12,140,14
8,27,6,AA,327,LGA,733,11.67,155,28
4,2,5,AA,1823,ORD,1144,9.17,170,110
4,23,5,UA,158,SFO,1846,23.08,240,10
4,22,4,AA,759,LGA,1389,16.42,235,25
5,16,1,WN,613,SJC,188,21.08,55,19
7,17,0,UA,732,ORD,589,8.23,108,6
10,10,1,B6,74,JFK,267,15.48,87,10
8,19,5,UA,581,ORD,1739,15.52,262,-32
3,7,1,OH,5131,LGA,478,8.95,130,20
1,3,0,US,208,SJC,621,16.2,110,6
4,7,3,OO,5914,ORD,323,14.33,80,59
9,19,0,US,110,SFO,414,12,92,-5
7,28,4,UA,1468,SFO,414,22.38,94,5
2,6,4,HA,115,OGG,100,7.5,34,-8
2,16,0,UA,246,ORD,473,19.02,91,-14
10,1,6,AA,1544,ORD,612,18.17,110,-17
3,21,1,B6,612,JFK,187,14.33,75,-14
8,20,6,OO,3968,TUS,601,6,108,5
0,30,3,B6,369,LGA,1035,21.08,166,3
1,1,5,UA,658,ORD,719,18,141,149
2,26,3,B6,51,JFK,1074,13.5,185,0
6,20,0,B6,919,JFK,740,20.5,171,154
11,1,1,OO,5603,SMF,86,11.75,50,162
9,29,3,B6,45,JFK,1005,7.93,174,-5
9,25,6,UA,1241,SFO,550,22.55,104,-8
3,11,5,OH,5679,LGA,478,16.08,130,16
6,2,3,UA,245,ORD,888,8.98,149,31
6,22,2,UA,10,SFO,2586,11.38,354,89
3,28,1,B6,115,JFK,1182,18.5,225,384
7,26,2,OH,5046,JFK,508,20.17,145,-40
4,20,2,B6,922,ORD,867,18.92,140,30
6,13,0,AA,1957,SFO,337,20.25,85,27
4,9,5,HA,30,OGG,2640,14.5,320,8
4,18,0,US,258,SFO,651,19.42,115,-8
2,14,5,AA,1243,ORD,1721,9.17,270,-14
6,13,0,B6,619,JFK,829,21,168,96
6,18,5,UA,111,ORD,1745,11.53,251,36
8,25,4,WN,1435,SMF,389,19.67,75,-6
10,25,2,B6,377,LGA,1076,13.42,179,30
7,17,0,UA,410,SMF,910,6,139,65
6,7,1,OH,5119,JFK,228,12.58,90,173
0,18,5,B6,121,JFK,944,8,185,22
2,10,1,OO,6724,ORD,84,16.7,48,53
2,6,4,UA,818,ORD,719,21,121,-18
11,21,0,HA,545,OGG,100,17.67,34,34
10,8,6,AA,582,SJC,1438,8.08,210,9
2,24,1,OO,5475,SFO,250,13.92,79,2
8,7,0,OH,6919,LGA,834,10.25,164,-12
3,6,0,UA,907,ORD,1846,17.32,273,39
9,10,5,UA,10,SFO,2586,11.62,343,27
10,25,2,WN,1489,SMF,389,14.5,75,1
1,14,4,OO,5944,ORD,557,15.5,119,-1
10,20,4,OH,6799,JFK,740,12.28,163,10
9,24,5,AA,3,JFK,2475,12.5,365,-26
9,3,5,AA,874,ORD,867,18.83,140,-17
8,22,1,UA,1204,ORD,412,18.73,82,21
2,7,5,WN,3073,SMF,373,12.17,80,30
6,27,0,US,2136,LGA,185,17,76,265
1,14,4,UA,653,ORD,1829,20.17,279,45
8,26,5,AA,1339,ORD,1723,17.83,260,26
3,3,4,UA,763,ORD,258,14.75,72,3
8,16,2,OH,6693,LGA,647,10.17,147,30
7,18,1,WN,2300,SMF,389,14.92,75,-6
9,13,1,OH,6749,LGA,641,19.58,150,-45
8,1,1,WN,367,SMF,389,18.67,75,-7
5,24,2,OO,5716,SFO,78,20.38,42,-3
3,4,5,WN,609,SJC,621,15,110,16
6,10,4,B6,87,JFK,1989,13.75,325,48
0,1,2,AA,2328,ORD,612,11.08,105,18
3,16,3,US,17,JFK,2153,17.92,350,353
4,3,6,B6,117,JFK,1182,7,186,49
6,18,5,OO,3940,SMF,532,16.08,98,-11
5,2,1,AA,759,LGA,1389,16.42,225,69
3,5,6,US,1571,ORD,678,16.42,132,0
1,3,0,OO,3761,TUS,601,8.58,114,28
1,3,0,OO,5962,ORD,412,16.83,83,108
3,20,0,B6,837,JFK,1028,14.92,175,19
11,11,4,AA,1869,ORD,258,21,70,-9
5,13,5,AA,1067,ORD,925,9.67,155,24
3,8,2,AA,301,LGA,733,6,140,0
2,26,3,AA,607,ORD,1745,19.83,270,1
2,10,1,UA,128,ORD,678,8,116,3
5,9,1,HA,595,OGG,100,20.92,34,-9
11,21,0,AA,411,ORD,334,13.67,85,16
1,4,1,UA,1468,SFO,414,22.33,89,24
3,16,3,HA,545,OGG,100,17.92,34,1
11,28,0,OO,6398,SFO,522,18.8,94,-12
7,29,5,UA,524,ORD,867,6.42,135,-4
1,29,5,AQ,227,OGG,100,20,34,1
6,8,2,OO,6108,ORD,299,17.08,72,90
1,16,6,UA,220,SFO,2419,16.27,297,18
4,10,6,WN,3873,SMF,358,15.5,70,37
5,6,5,UA,466,SFO,967,16.22,146,-22
1,18,1,UA,687,LGA,733,16.1,158,177
11,15,1,UA,691,LGA,733,18.08,159,152
8,25,4,UA,472,SMF,1781,6.05,234,2
10,17,1,OO,6703,ORD,491,21.23,103,39
8,10,3,AA,2463,ORD,403,7.5,85,-12
7,6,3,UA,145,ORD,1846,12.63,264,-1
9,1,3,OO,6416,SFO,896,11.8,139,1
3,27,0,UA,945,ORD,888,12,154,-2
1,21,4,AA,2331,ORD,1652,18.08,255,-2
7,29,5,US,1892,ORD,599,15.92,113,28
3,7,1,WN,2468,SMF,358,8.42,70,-4
11,29,1,WN,294,SJC,308,7.75,75,-12
6,17,4,UA,892,SFO,2586,10.2,354,35
1,19,2,AA,613,JFK,1090,18.58,210,73
5,18,3,AA,408,ORD,678,20.67,115,27
11,22,1,AA,1031,ORD,1236,19.08,205,30
8,22,1,AA,1101,ORD,925,18.75,155,7
1,7,4,AA,775,LGA,1097,8.5,195,16
2,18,2,AA,2293,ORD,978,17.75,165,66
3,19,6,US,231,SJC,621,6.25,119,-14
5,20,5,UA,527,ORD,1829,9.85,274,-13
8,25,4,UA,638,ORD,719,9.03,118,39
1,5,2,AA,2247,ORD,1120,9.08,165,23
1,21,4,WN,727,SMF,404,17.83,80,26
0,9,3,AA,874,ORD,867,19.42,130,27
9,12,0,OO,5916,ORD,286,13.23,76,8
1,10,0,OH,5166,LGA,585,20.25,141,96
1,6,3,OO,5496,SFO,191,21.42,66,12
7,22,5,OO,6059,ORD,738,10.85,132,21
7,9,6,WN,477,TUS,747,11,140,-20
5,26,4,US,58,SMF,397,20.67,83,30
2,28,5,WN,1745,SFO,447,19.5,90,50
3,28,1,OO,5497,SFO,250,23.08,81,-5
5,26,4,AA,1807,ORD,606,18.92,120,87
5,25,3,UA,189,ORD,1723,8.02,250,16
2,15,6,AA,1268,SMF,1431,11.83,195,8
11,2,2,AA,348,ORD,733,19.33,129,-17
3,10,4,WN,329,SJC,386,20,80,31
0,10,4,UA,75,SFO,2398,12.75,331,11
3,3,4,OH,5557,LGA,722,13.92,152,21
0,22,2,UA,475,ORD,837,9.53,146,40
8,18,4,OO,5796,SFO,153,19.92,53,16
2,9,0,OO,6369,TUS,751,5.17,138,13
3,10,4,UA,34,OGG,2338,12.53,290,77
1,9,6,US,182,ORD,1515,8.48,242,-7
3,27,0,UA,1506,SFO,651,18.17,117,-12
0,16,3,US,128,SFO,651,15.67,116,7
11,4,4,B6,265,SMF,387,19.5,80,0
7,15,5,UA,710,SFO,192,22.73,60,44
10,2,0,WN,1203,SJC,948,7.67,145,-13
4,17,6,B6,165,JFK,2454,19.58,379,-19
6,18,5,UA,768,TUS,639,15.18,117,39
1,25,1,AA,1994,SFO,1464,9.42,200,10
7,5,2,B6,608,JFK,274,22.42,91,20
6,22,2,UA,642,ORD,719,10.65,133,38
4,6,2,AA,305,ORD,1721,9.42,260,24
9,15,3,OO,5557,SFO,77,9,48,-7
2,22,6,UA,676,ORD,733,10,128,65
0,20,0,B6,179,JFK,2153,18.75,350,17
7,2,6,OO,5548,SFO,329,18.3,93,35
1,1,5,OO,5525,SMF,86,14.23,45,-13
4,27,2,WN,3082,TUS,1440,7.25,200,0
2,20,4,OH,5269,LGA,292,19,100,165
5,16,1,UA,1163,SFO,337,13.78,89,48
5,27,5,B6,739,JFK,1617,23.98,234,7
5,19,4,AA,705,LGA,1389,7,205,55
3,4,5,OO,5738,SFO,462,21.75,118,4
7,9,6,AA,1972,ORD,647,16.42,115,28
4,23,5,AA,2057,ORD,2072,8,275,6
8,30,2,B6,377,LGA,1076,13.08,175,35
1,3,0,AA,1417,ORD,1515,14.5,240,88
11,16,2,WN,3033,SJC,417,14.33,75,28
0,9,3,HA,30,OGG,2640,15.83,325,-47
11,25,4,WN,3965,SMF,480,21.33,85,30
6,14,1,OO,5445,SFO,191,14.25,70,21
4,1,4,AA,1551,LGA,764,19.75,145,38
11,22,1,OO,6371,ORD,1013,10.58,180,35
8,29,1,WN,332,SFO,414,12,100,40
4,26,1,UA,610,ORD,612,11,105,-9
3,2,3,OH,5659,JFK,425,16.17,135,19
11,27,6,OO,6001,ORD,416,14.88,95,91
0,22,2,UA,514,ORD,865,18.32,142,192
7,7,4,AA,1403,ORD,585,15.42,110,-14
11,3,3,WN,1489,SMF,389,14.5,75,-9
2,23,0,OO,6412,SFO,451,22.42,93,20
3,9,3,US,178,SFO,414,8.92,91,-10
10,11,2,UA,685,LGA,733,15.08,162,2
2,4,2,OH,5103,JFK,267,9.33,96,-36
9,29,3,WN,938,SMF,404,19.25,85,-2
3,1,2,UA,692,ORD,733,20.75,131,41
1,23,6,AA,2328,ORD,612,11.08,105,-13
4,22,4,OO,5704,SJC,234,19.92,67,19
8,24,3,US,52,JFK,2248,17.98,344,55
1,22,5,UA,722,ORD,589,17.83,111,16
4,27,2,UA,695,LGA,733,19.98,160,216
4,18,0,OO,6036,ORD,738,18,131,-21
6,18,5,B6,159,JFK,1626,12.5,250,25
2,2,0,OH,5251,LGA,544,14.75,134,-4
3,9,3,AA,1561,ORD,1846,18.58,275,108
6,6,0,UA,395,ORD,1723,17.87,250,-2
10,2,0,WN,1255,SMF,605,13.33,115,-9
7,18,1,UA,274,SFO,1482,10.75,213,-12
9,12,0,AA,437,ORD,334,13,90,-11
5,16,1,OO,5790,SFO,153,16.78,58,50
4,1,4,UA,1476,SFO,414,6,90,-9
4,29,4,AA,1194,SJC,1829,13.17,260,-2
1,8,5,UA,664,ORD,137,18.4,52,42
11,15,1,UA,907,ORD,1846,17.58,289,58
11,8,1,UA,676,ORD,733,9.98,142,45
3,5,6,WN,2689,SMF,605,9,105,10
7,16,6,UA,332,SMF,1781,13.37,238,1
3,2,3,UA,299,SFO,326,9,70,-7
2,23,0,HA,160,OGG,84,14.65,31,-8
10,4,2,OH,6419,LGA,431,9,131,-11
7,29,5,US,2140,LGA,185,19,74,18
5,29,0,OO,5819,ORD,466,8.28,99,-7
11,19,5,WN,1483,SMF,389,19.92,75,25
1,13,3,WN,381,SMF,358,8.75,70,-7
5,13,5,B6,68,JFK,209,9.83,83,19
9,20,1,UA,1135,TUS,639,14.1,112,22
4,14,3,UA,245,ORD,888,9,159,41
3,15,2,OO,5409,SJC,308,13.98,98,-11
6,22,2,OH,5203,JFK,1522,17.48,269,252
11,2,2,UA,148,ORD,678,15.65,130,73
7,25,1,UA,1163,SFO,337,13.85,89,35
5,5,4,B6,1075,JFK,288,14.98,91,1
4,19,1,UA,896,ORD,606,16.77,119,3
4,5,1,UA,506,SFO,679,20.73,116,-1
3,3,4,AA,580,ORD,612,20.25,104,22
8,29,1,UA,931,SFO,337,19.2,92,-6
4,20,2,OO,5830,ORD,760,19.67,120,0
4,27,2,OH,5570,LGA,461,19.52,122,257
4,9,5,UA,544,SFO,550,16.42,99,42
1,22,5,OO,6509,TUS,451,8,96,3
4,19,1,AA,33,JFK,2475,7.75,360,3
4,24,6,US,660,ORD,1440,14.08,225,3
8,19,5,UA,1137,SFO,337,17.38,92,-19
4,11,0,OO,5567,SFO,158,15.75,58,36
6,14,1,AA,337,LGA,733,14.98,160,52
8,25,4,UA,734,ORD,412,14.15,80,35
10,5,3,UA,674,ORD,733,9.07,131,-10
1,3,0,B6,112,JFK,301,22.92,83,-9
0,5,6,WN,3764,SMF,389,14.5,75,84
5,11,3,UA,305,ORD,1745,14.35,261,16
1,2,6,UA,331,ORD,1721,9.75,274,23
6,2,3,AA,133,JFK,2475,15.92,350,18
