stature_m,buttockheight,waistdepth,span,waistcircumference,shouldercircumference,footlength,handlength,functionalleglength,chestheight,chestcircumference,cervicaleheight,sittingheight
1.605,843.0,199.0,1708.0,755.0,1139.0,257.0,186.0,1096.0,1180.0,963.0,1382.0,849.0
1.83,976.0,241.0,1960.0,997.0,1215.0,271.0,199.0,1213.0,1395.0,1101.0,1582.0,935.0
1.81,967.0,229.0,1881.0,913.0,1171.0,269.0,194.0,1204.0,1349.0,1053.0,1569.0,917.0
1.731,886.0,235.0,1746.0,921.0,1118.0,244.0,178.0,1085.0,1278.0,1027.0,1487.0,915.0
1.845,964.0,215.0,1868.0,899.0,1122.0,295.0,195.0,1188.0,1364.0,972.0,1592.0,960.0
1.775,965.0,189.0,1907.0,734.0,1112.0,288.0,204.0,1154.0,1324.0,915.0,1523.0,897.0
1.795,926.0,292.0,1838.0,1124.0,1253.0,276.0,187.0,1187.0,1299.0,1142.0,1555.0,934.0
1.664,891.0,274.0,1773.0,976.0,1170.0,267.0,200.0,1117.0,1218.0,1081.0,1426.0,857.0
1.7519999999999998,906.0,286.0,1809.0,1084.0,1176.0,263.0,187.0,1175.0,1299.0,1108.0,1527.0,928.0
1.814,963.0,275.0,1893.0,1026.0,1143.0,269.0,204.0,1150.0,1357.0,1069.0,1577.0,941.0
1.836,981.0,282.0,1904.0,1078.0,1265.0,282.0,197.0,1228.0,1357.0,1140.0,1609.0,955.0
1.628,849.0,260.0,1671.0,972.0,1107.0,248.0,183.0,1056.0,1198.0,1018.0,1411.0,885.0
1.64,835.0,217.0,1760.0,903.0,1214.0,253.0,193.0,1099.0,1199.0,1096.0,1426.0,881.0
1.7280000000000002,850.0,237.0,1798.0,928.0,1209.0,280.0,204.0,1095.0,1269.0,1127.0,1487.0,934.0
1.606,821.0,182.0,1677.0,779.0,1025.0,244.0,176.0,1052.0,1173.0,907.0,1360.0,864.0
